node1,node2,length,startLon,startLat,endLon,endLat,endNodeL,startNodeL,startYear,endYear,tipLabel,genotype
945,946,0.0100519369458016,-96.7509907678001,46.6448434628694,-94.9724325873985,45.4441377031249,0.0399487941530099,0.0298968572072082,2022.07278062911,2022.08283256606,NA,B32
1049,1055,0.0498318575543446,-101.573528288816,46.1455584267119,-101.150013874376,45.7883763602572,0.0664447065109637,0.0166128489566191,2022.05949662086,2022.10932847842,NA,B32
1055,1056,0.00198727180947955,-101.150013874376,45.7883763602572,-99.0287323183401,46.3293832217879,0.0684319783204432,0.0664447065109637,2022.10932847842,2022.11131575023,NA,B32
1056,1057,0.00819204420833852,-99.0287323183401,46.3293832217879,-99.0527313223844,46.3013784612252,0.0766240225287818,0.0684319783204432,2022.11131575023,2022.11950779444,NA,B32
1049,1050,0.068891349121432,-101.573528288816,46.1455584267119,-106.265013441499,41.8235278697645,0.0855041980780511,0.0166128489566191,2022.05949662086,2022.12838796999,NA,B32
946,947,0.0524874250427643,-94.9724325873985,45.4441377031249,-94.5289076149464,48.4541279721334,0.0924362191957742,0.0399487941530099,2022.08283256606,2022.1353199911,NA,B32
1056,1059,0.026275551993661,-99.0287323183401,46.3293832217879,-96.9325854498776,48.3641862652704,0.0947075303141043,0.0684319783204432,2022.11131575023,2022.13759130222,NA,B32
947,948,0.00962591660045708,-94.5289076149464,48.4541279721334,-94.666905418454,48.6978039612934,0.102062135796231,0.0924362191957742,2022.1353199911,2022.1449459077,NA,B32
1050,1051,0.0208949473510276,-106.265013441499,41.8235278697645,-107.492649362007,40.8539737658196,0.106399145429079,0.0855041980780511,2022.12838796999,2022.14928291734,NA,B32
1037,1041,0.0719848949586379,-99.5319268909994,46.2727633660838,-98.3760198916425,46.6397457625606,0.106486778764738,0.0345018838061004,2022.07738565571,2022.14937055067,NA,B32
947,1019,0.0169750459996014,-94.5289076149464,48.4541279721334,-92.1323205887767,46.4169276878737,0.109411265195376,0.0924362191957742,2022.1353199911,2022.1522950371,NA,B32
948,950,0.010673619306,-94.666905418454,48.6978039612934,-96.7547826994241,45.7435483782156,0.112735755102231,0.102062135796231,2022.1449459077,2022.15561952701,NA,B32
534,537,0.105280142823603,-97.7754371990908,48.4892590847694,-95.9812090294717,46.1303313835358,0.131735154365893,0.0264550115422901,2022.06933878345,2022.17461892627,NA,B32
950,951,0.0196962208686857,-96.7547826994241,45.7435483782156,-94.6152662640978,45.6604470711419,0.132431975970917,0.112735755102231,2022.15561952701,2022.17531574788,NA,B32
1019,1020,0.0239007260849666,-92.1323205887767,46.4169276878737,-93.1819529237418,46.77668751694,0.133311991280342,0.109411265195376,2022.1522950371,2022.17619576319,NA,B32
1019,1025,0.0370789912219451,-92.1323205887767,46.4169276878737,-92.5178344998486,46.543885514212,0.146490256417321,0.109411265195376,2022.1522950371,2022.18937402832,NA,B32
1041,1042,0.0468070762250212,-98.3760198916425,46.6397457625606,-100.674105365083,49.531876329577,0.15329385498976,0.106486778764738,2022.14937055067,2022.1961776269,NA,B32
948,949,0.0528330412304814,-94.666905418454,48.6978039612934,-86.0965203887655,39.9275252191757,0.154895177026713,0.102062135796231,2022.1449459077,2022.19777894893,NA,B32
537,538,0.0260537397199108,-95.9812090294717,46.1303313835358,-97.416576476774,47.0693848995884,0.157788894085804,0.131735154365893,2022.17461892627,2022.20067266599,NA,B32
1020,1021,0.0249410081422701,-93.1819529237418,46.77668751694,-93.1755519312365,47.4739653714598,0.158252999422612,0.133311991280342,2022.17619576319,2022.20113677133,NA,B32
1055,1060,0.0934182270828048,-101.150013874376,45.7883763602572,-96.4477048127239,46.0584791974808,0.159862933593768,0.0664447065109637,2022.10932847842,2022.2027467055,NA,B32
1042,1043,0.00902005805610218,-100.674105365083,49.531876329577,-100.874018434757,52.1093588854114,0.162313913045862,0.15329385498976,2022.1961776269,2022.20519768495,NA,B32
