trait,country,admin1,admin2,collection_date,latitude,longitude,location_used
EPI_ISL_18698471|A/Chicken/Argentina/501-1/2023|H5N1|Argentina-Cordoba|2023-02-20|domestic_avian|B3.2,Argentina,Cordoba,Tercero Arriba,2023-02-20,-32.09246308,-63.19509047,precise (Martha)
EPI_ISL_18698530|A/Chicken/Argentina/3695-3/2023|H5N1|Argentina-Cordoba|2023-07-27|domestic_avian|B3.2,Argentina,Cordoba,Tercero Arriba,2023-07-27,-32.09246308,-63.76886109,precise (Martha)
EPI_ISL_18698462|A/Chicken/Argentina/477-5/2023|H5N1|Argentina-Cordoba|2023-02-18|domestic_avian|B3.2,Argentina,Cordoba,Tercero Arriba,2023-02-18,-32.09246308,-63.76886109,precise (Martha)
EPI_ISL_18698515|A/Duck/Argentina/1712-5/2023|H5N1|Argentina-Corrientes|2023-04-19|domestic_avian|B3.2,Argentina,Corrientes,Concepcion,2023-04-19,-28.36806,-58.25909,precise (Martha)
EPI_ISL_18698508|A/Turkey/Argentina/1348-3/2023|H5N1|Argentina-Corrientes|2023-03-31|domestic_avian|B3.2,Argentina,Corrientes,San Cosme,2023-03-31,-27.39907,-58.67021,precise (Martha)
EPI_ISL_18698524|A/Chicken/Argentina/2305-1/2023|H5N1|Argentina-Entre_Rios|2023-05-18|domestic_avian|B3.2,Argentina,Entre_Rios,Diamante,2023-05-18,-31.99194,-60.41444,precise (Martha)
EPI_ISL_18698732|A/Chicken/Argentina/2016-2/2023|H5N1|Argentina-Formosa|2023-05-03|domestic_avian|B3.2,Argentina,Formosa,Pilcomayo,2023-05-03,-25.36837,-58.265809,precise (Martha)
EPI_ISL_18698528|A/Chicken/Argentina/3346-1/2023|H5N1|Argentina-Formosa|2023-07-06|domestic_avian|B3.2,Argentina,Formosa,Patino,2023-07-06,-24.75241,-59.44938,precise (Martha)
EPI_ISL_18698459|A/Goose/Argentina/389-1/2023|H5N1|Argentina-Jujuy|2023-02-11|domestic_avian|B3.2,Argentina,Jujuy,Yavi,2023-02-11,-22.4027,-65.9707,precise (Martha)
EPI_ISL_18698504|A/Chicken/Argentina/1035-1/2023|H5N1|Argentina-La_Pampa|2023-03-16|domestic_avian|B3.2,Argentina,La_Pampa,Toay,2023-03-16,-36.69454,-64.31648,precise (Martha)
EPI_ISL_18698512|A/Chicken/Argentina/1708-1/2023|H5N1|Argentina-Mendoza|2023-04-19|domestic_avian|B3.2,Argentina,Mendoza,San Carlos,2023-04-19,-34.10899,-68.778496,precise (Martha)
EPI_ISL_18698520|A/Chicken/Argentina/2034-5/2023|H5N1|Argentina-Neuquen|2023-05-05|domestic_avian|B3.2,Argentina,Neuquen,Confluencia,2023-05-05,-38.97202,-68.32124,precise (Martha)
EPI_ISL_18698517|A/Avian/Argentina/1790-5/2023|H5N1|Argentina|2023-04-24|wild_avian|B3.2,Argentina,Neuquen,Confluencia,2023-04-24,-38.95667,-68.29917,precise (Martha)
EPI_ISL_18698505|A/Chicken/Argentina/1147-2/2023|H5N1|Argentina-Neuquen|2023-03-21|domestic_avian|B3.2,Argentina,Neuquen,Confluencia,2023-03-21,-38.55845,-70.37815,precise (Martha)
