node1,node2,length,startLon,startLat,endLon,endLat,endNodeL,startNodeL,startYear,endYear,tipLabel,startFlyway,endFlyway
710,711,0.000606317836224779,-105.606781147308,42.8507724555843,-105.633780255253,42.8378175732064,0.142716149242842,0.142109831406617,2024.71011333519,2024.71071965302,NA,Central,Central
773,774,0.00313223565567822,-91.0005634064773,39.9218825143492,-91.9385621625959,39.4935922122473,0.143046623589258,0.13991438793358,2024.70791789171,2024.71105012737,NA,Mississippi,Mississippi
962,965,0.0113930757549832,-108.008558389886,43.3997041130001,-110.936271917488,42.7328482900575,0.144635168245553,0.13324209249057,2024.70124559627,2024.71263867202,NA,Central,Pacific
742,747,0.00813751599007073,-83.9047664205776,36.3704528617874,-82.2261657484871,36.2598043595471,0.145138322209726,0.137000806219655,2024.70500431,2024.71314182599,NA,Mississippi,Mississippi
1056,1067,0.00576236611893011,-109.073883692555,43.2699842257458,-108.901161889104,43.7819018784003,0.145453279899219,0.139690913780289,2024.70769441756,2024.71345678368,NA,Central,Central
1316,1317,0.0118091488709553,-98.1946165729666,38.2271486070509,-96.9990235623678,37.2393746851511,0.145516268907957,0.133707120037001,2024.70171062382,2024.71351977269,NA,Central,Central
1262,1266,0.00495859597762127,-108.527644609568,40.6165199971429,-103.42909660667,38.9829345108037,0.146185778430793,0.141227182453172,2024.70923068623,2024.71418928221,NA,Pacific,Central
1067,1256,0.00108390683531656,-108.901161889104,43.7819018784003,-108.961897421189,43.7926007284275,0.146537186734536,0.145453279899219,2024.71345678368,2024.71454069051,NA,Central,Central
1067,1068,0.00145953034301294,-108.901161889104,43.7819018784003,-108.958535909346,43.5873734762091,0.146912810242232,0.145453279899219,2024.71345678368,2024.71491631402,NA,Central,Central
684,685,0.00485064779468014,-113.887602110419,42.4675649269768,-114.044348326531,43.1109105182167,0.147399869813223,0.142549222018543,2024.7105527258,2024.71540337359,NA,Pacific,Pacific
1306,1307,0.0148220745920662,-116.400560112195,36.3659851249022,-117.400039661837,36.3186284919527,0.148504788598386,0.133682714006319,2024.70168621778,2024.71650829238,NA,Pacific,Pacific
747,748,0.00359653512581892,-82.2261657484871,36.2598043595471,-81.6155291700095,35.116598182255,0.148734857335545,0.145138322209726,2024.71314182599,2024.71673836111,NA,Mississippi,Atlantic
863,944,0.0631104709023376,-94.634415221739,44.0510933097245,-93.5633341583403,45.3101124213124,0.149403539170949,0.0862930682686109,2024.65429657205,2024.71740704295,NA,Mississippi,Mississippi
990,1047,0.00976446284907362,-110.030240214847,42.939443594187,-109.950098517733,42.9012239132144,0.150138037678228,0.140373574829154,2024.70837707861,2024.71814154146,NA,Pacific,Pacific
685,687,0.00292944327407518,-114.044348326531,43.1109105182167,-113.944395361967,43.0985785187877,0.150329313087298,0.147399869813223,2024.71540337359,2024.71833281687,NA,Pacific,Pacific
1317,1318,0.00489140535087018,-96.9990235623678,37.2393746851511,-96.8443857571913,37.1041849039139,0.150407674258827,0.145516268907957,2024.71351977269,2024.71841117804,NA,Central,Central
