# BEAST v10.5.0-beta5 Prerelease #fb0d1ded5
# Generated Sun Mar 01 14:04:39 CET 2026 [seed=1772370270668]
# -overwrite B36_RRW_pols.xml
state	joint	prior	likelihood	Current Tree	location.precision.col11	location.precision.col12	location.precision.col21	location.precision.col22	correlation	location.varCovar.location.precision.col11	location.varCovar.location.precision.col12	location.varCovar.location.precision.col21	location.varCovar.location.precision.col22	location.diffusionRate	location.traitLikelihood
210000	-4263.493014143338	-897.0264276403532	-3366.466586502985	184.0	5.26787379093048E-5	1.9606322932785166E-5	1.9606322932785166E-5	2.3939802445082654E-5	-0.5521005626222313	27306.38852757707	-22363.504161236102	-22363.504161236102	60086.7984518121	3666.4060233564446	-3366.466586502985
220000	-4217.210415275117	-923.4057194206938	-3293.8046958544237	761.0	5.7952632335829894E-5	2.3321708699770197E-5	2.3321708699770197E-5	2.8001583462644442E-5	-0.5789385743424003	25954.70763311503	-21616.925043354175	-21616.92504335418	53716.37753459473	3581.8339290683907	-3293.8046958544237
230000	-4376.001634250703	-937.4527371930648	-3438.5488970576384	688.0	4.804963386584055E-5	2.170594832788728E-5	2.170594832788728E-5	2.340115983510216E-5	-0.6473140477099114	35821.630805739784	-33226.66366834157	-33226.66366834158	73552.60409406104	4049.5171620930505	-3438.5488970576384
240000	-4382.670645396985	-936.7343345874805	-3445.936310809504	481.0	4.6099916309778434E-5	1.5789120925485145E-5	1.5789120925485145E-5	2.157159117389006E-5	-0.5006875494513036	28949.241426015	-21189.121835836642	-21189.121835836642	61866.44259168937	3828.86002891141	-3445.936310809504
250000	-4109.2817239054	-810.7321266095871	-3298.5495972958133	730.0	5.143597056416101E-5	2.1509665062583947E-5	2.1509665062583947E-5	2.769956189014726E-5	-0.5698541668263428	28791.084926480642	-22357.27034286735	-22357.270342867352	53462.845465273356	3534.84000367353	-3298.5495972958133
260000	-4192.807351667547	-870.4426854552911	-3322.364666212256	577.0	4.7358616951705865E-5	1.5777446342062938E-5	1.5777446342062938E-5	2.5096101571726058E-5	-0.45765064069547545	26709.66308161313	-16791.86206990422	-16791.862069904222	50403.55368247086	3694.171717804107	-3322.364666212256
270000	-4202.5301401588185	-817.0863379468971	-3385.4438022119216	101.0	4.5729725920611805E-5	1.7986276796737397E-5	1.7986276796737397E-5	2.113041305681382E-5	-0.5786127243464267	32873.38189788078	-27981.930332851513	-27981.930332851505	71143.46228025726	3580.6034047339244	-3385.4438022119216
280000	-4363.324516407097	-965.4142932091345	-3397.9102231979623	467.0	4.6520186395757575E-5	1.5932936096295218E-5	1.5932936096295218E-5	2.476719240326126E-5	-0.4693931010276504	27570.691893596006	-17736.45009571075	-17736.450095710752	51785.99596865089	3683.0463107449214	-3397.9102231979623
290000	-4227.580115751583	-803.23077429279	-3424.3493414587933	367.0	3.8635036470157046E-5	1.4301700493025124E-5	1.4301700493025124E-5	1.9051640786790973E-5	-0.5271458881793033	35843.54670481647	-26907.061460840625	-26907.06146084063	72687.53120311261	3796.9044556450863	-3424.3493414587933
300000	-4155.4709086137145	-836.1866521129931	-3319.2842565007218	41.0	5.219592870072775E-5	2.3372133049459443E-5	2.3372133049459443E-5	2.7726891985767324E-5	-0.6143692068469735	30774.34371765077	-25940.954949005434	-25940.954949005438	57932.76258019567	3574.8310684873577	-3319.2842565007218
310000	-4249.21514153754	-810.276487099555	-3438.938654437985	647.0	4.3658653672378115E-5	1.620586322922022E-5	1.620586322922022E-5	1.9422790313866018E-5	-0.556520528682398	33181.90281466772	-27686.103284340486	-27686.103284340486	74586.46156221279	3820.285750852072	-3438.938654437985
320000	-4225.899848841404	-827.8291008993108	-3398.070747942093	781.0	4.332319745511733E-5	1.6946741605783463E-5	1.6946741605783463E-5	2.0653477799484057E-5	-0.5665384114795486	33992.86984682157	-27892.076449589713	-27892.076449589717	71304.20487714393	3888.988648059053	-3398.070747942093
