trait,country,admin1
A/Gadwall/Georgia/22-003669-001/2022|H5N1|USA-GA|2022-01-30|avian|A1,USA,GA
A/Bald_Eagle/Iowa/22-010129-001/2022|H5N1|USA-IA|2022-04-04|avian|A1,USA,IA
A/chicken/Iowa/22-009985-001/2022|H5N1|USA-IA|2022-04-01|avian|A1,USA,IA
A/American_White_Pelican/Iowa/22-011101-001/2022|H5N1|USA-IA|2022-04-12|avian|A1,USA,IA
A/American_White_Pelican/Iowa/22-011101-007/2022|H5N1|USA-IA|2022-04-12|avian|A1,USA,IA
A/pelican/Iowa/22-011101-006/2022|H5N1|USA-IA|2022-04-12|avian|A1,USA,IA
A/pelican/Iowa/22-011101-009/2022|H5N1|USA-IA|2022-04-12|avian|A1,USA,IA
A/American_White_Pelican/Iowa/22-011101-003/2022|H5N1|USA-IA|2022-04-12|avian|A1,USA,IA
A/pelican/Iowa/22-011101-008/2022|H5N1|USA-IA|2022-04-12|avian|A1,USA,IA
A/Mallard/Iowa/22-007265-001/2022|H5N1|USA-IA|2022-03-09|avian|A1,USA,IA
A/Snow_Goose/Iowa/22-007764-001/2022|H5N1|USA-IA|2022-03-08|avian|A1,USA,IA
A/silkie_chicken/Iowa/22-006114-001/2022|H5N1|USA-IA|2022-02-28|avian|A1,USA,IA
A/Rosss_Goose/Iowa/22-008376-002/2022|H5N1|USA-IA|2022-03-15|avian|A1,USA,IA
A/chicken/Iowa/22-007376-007/2022|H5N1|USA-IA|2022-03-10|avian|A1,USA,IA
A/chicken/Iowa/22-007376-002/2022|H5N1|USA-IA|2022-03-10|avian|A1,USA,IA
A/chicken/Iowa/22-007376-001/2022|H5N1|USA-IA|2022-03-10|avian|A1,USA,IA
A/chicken/Iowa/22-007376-005/2022|H5N1|USA-IA|2022-03-10|avian|A1,USA,IA
A/chicken/Iowa/22-007376-012/2022|H5N1|USA-IA|2022-03-10|avian|A1,USA,IA
A/chicken/Iowa/22-007376-003/2022|H5N1|USA-IA|2022-03-10|avian|A1,USA,IA
A/turkey/Iowa/22-006795-002/2022|H5N1|USA-IA|2022-03-06|avian|A1,USA,IA
A/turkey/Iowa/22-006795-001/2022|H5N1|USA-IA|2022-03-06|avian|A1,USA,IA
A/chicken/Iowa/22-008176-005/2022|H5N1|USA-IA|2022-03-17|avian|A1,USA,IA
A/chicken/Iowa/22-008176-003/2022|H5N1|USA-IA|2022-03-17|avian|A1,USA,IA
A/chicken/Iowa/22-008176-004/2022|H5N1|USA-IA|2022-03-17|avian|A1,USA,IA
A/chicken/Iowa/22-009180-001/2022|H5N1|USA-IA|2022-03-25|avian|A1,USA,IA
A/chicken/Iowa/22-009180-002/2022|H5N1|USA-IA|2022-03-25|avian|A1,USA,IA
