trait	country	admin1	admin2	precision	latitude	longitude
A/pinniped/Uruguay/P14_11923/2023|H5N1|Uruguay|2023-09-11|other_mammal|B3.2	Uruguay	NA	NA	precise (Martha)	-35.027041	-54.883736
A/pinniped/Uruguay/P4_6923/2023|H5N1|Uruguay|2023-09-06|other_mammal|B3.2	Uruguay	NA	NA	precise (Martha)	-34.942845	-55.926936
A/pinniped/Uruguay/P18_14923/2023|H5N1|Uruguay|2023-09-14|other_mammal|B3.2	Uruguay	NA	NA	precise (Martha)	-34.901762	-54.95159
A/black-necked_swan/Uruguay/UDELAR-014-M3/2023|H5N1|Uruguay|2023-02-18|avian|B3.2	Uruguay	NA	NA	precise (Martha)	-34.798	-54.568
A/Black-necked_swan/Uruguay/014-M3/2023|H5N1|Uruguay|2023-02-18|avian|B3.2	Uruguay	NA	NA	precise (Martha)	-34.798	-54.568
A/Backyard_chicken/Uruguay/127-M4/2023|H5N1|Uruguay|2023-04-17|avian|B3.2	Uruguay	NA	NA	precise (Martha)	-34.7852	-56.1287
A/Black-necked_swan/Uruguay/078-M2/2023|H5N1|Uruguay|2023-03-15|avian|B3.2	Uruguay	NA	NA	precise (Martha)	-34.5713	-55.7469
A/pinniped/Uruguay/P10_8923/2023|H5N1|Uruguay|2023-09-08|other_mammal|B3.2	Uruguay	NA	NA	precise (Martha)	-34.523896	-56.281724
A/pinniped/Uruguay/P8_8923/2023|H5N1|Uruguay|2023-09-08|other_mammal|B3.2	Uruguay	NA	NA	precise (Martha)	-34.523896	-56.281724
A/pinniped/Uruguay/P13_11923/2023|H5N1|Uruguay|2023-09-11|other_mammal|B3.2	Uruguay	NA	NA	precise (Martha)	-34.523896	-56.281724
A/pinniped/Uruguay/P17_14923/2023|H5N1|Uruguay|2023-09-14|other_mammal|B3.2	Uruguay	NA	NA	precise (Martha)	-34.480131	-54.332445
A/backyard_chicken/Uruguay/UDELAR-144-M3/2023|H5N1|Uruguay|2023-05-03|avian|B3.2	Uruguay	NA	NA	precise (Martha)	-33.69	-54.0993
A/Backyard_chicken/Uruguay/144-M3/2023|H5N1|Uruguay|2023-05-03|avian|B3.2	Uruguay	NA	NA	precise (Martha)	-33.69	-54.0993
A/South_American_sea_lion/Valparaiso/243136-1/2023|H5N1|Chile|2023-03-19|other_mammal|B3.2	Chile	NA	NA	precise (Martha)	-32.69895	-71.4293542
A/Chicken/Argentina/3695-3/2023|H5N1|Argentina|2023-07-27|avian|B3.2	Argentina	NA	NA	precise (Martha)	-32.09246308	-63.76886109
A/Otaria_flavescens/Rio_Grande_do_Sul/2148-N/2023|H5N1|Brazil|2023-10-03|other_mammal|B3.2	Brazil	Rio_Grande_do_Sul	NA	city/town/municipality	-32.035	-52.098611
A/Chicken/Argentina/2483-3/2023|H5N1|Argentina|2023-05-29|avian|B3.2	Argentina	NA	NA	precise (Martha)	-31.99319	-60.41929
A/Otaria_flavescens/Rio_Grande_do_Sul/2165-SO/2023|H5N1|Brazil|2023-10-11|other_mammal|B3.2	Brazil	Rio_Grande_do_Sul	NA	city/town/municipality	-29.326667	-49.7675
A/Peruvean_booby/Atacama/230579-1/2023|H5N1|Chile|2023-01-03|avian|B3.2	Chile	NA	NA	precise (Martha)	-27.6448298	-70.98665
A/Turkey/Argentina/1348-3/2023|H5N1|Argentina|2023-03-31|avian|B3.2	Argentina	NA	NA	precise (Martha)	-27.39907	-58.67021
A/sea_lion/Atacama/242444-1/2023|H5N1|Chile|2023-03-13|other_mammal|B3.2	Chile	NA	NA	precise (Martha)	-27.38183161	-69.93163954
A/pelican/Atacama/229450-2/2022|H5N1|Chile|2022-12-26|avian|B3.2	Chile	NA	NA	precise (Martha)	-27.066667	-70.833333
A/pelican/Chile/229424-4/2022|H5N1|Chile|2022-12-22|avian|B3.2	Chile	NA	NA	precise (Martha)	-26.344444	-70.621944
A/Sula_leucogaster/Sao_Francisco_do_Sul/2122-N/2023|H5N1|Brazil|2023-09-27|avian|B3.2	Brazil	Santa Catarina	NA	city/town/municipality	-26.242778	-48.637778
A/Thalasseus_acuflavidus/Parana/2277-N/2023|H5N1|Brazil|2023-11-14|avian|B3.2	Brazil	Parana	NA	city/town/municipality	-25.816667	-48.533333
A/Sula_leucogaster/Brazil-PR/A0001-IBTEC/2023|H5N1|Brazil|2023-07-25|avian|B3.2	Brazil	NA	NA	precise (Martha)	-25.7751123	-48.5147336
A/Thalasseus_maximus/Parana/1775-N/2023|H5N1|Brazil|2023-06-23|avian|B3.2	Brazil	Parana	NA	city/town/municipality	-25.1	-48.716667
A/Thalasseus_maximus/Sao_Paulo/2339-N/2023|H5N1|Brazil|2023-12-13|avian|B3.2	Brazil	Sao_Paulo	NA	city/town/municipality	-24.006111	-46.402778
A/Thalasseus_acuflavidus/Sao_Paulo/0291-N/2024|H5N1|Brazil|2024-02-22|avian|B3.2	Brazil	Sao_Paulo	NA	city/town/municipality	-23.854722	-46.138889
A/turkey_vulture/Antofagasta/228252-1/2022|H5N1|Chile|2022-12-17|avian|B3.2	Chile	NA	NA	precise (Martha)	-23.65	-70.4
A/Antofagasta/25945/2023|H5N1|Chile|2023-03-24|human|B3.2	Chile	NA	NA	precise (Martha)	-23.61671	-70.38642
A/Chile/25945/2023|H5N1|Chile|2023-03-24|human|B3.2	Chile	NA	NA	precise (Martha)	-23.61671	-70.38642
A/Burmeister_s_porpoise/Antofagasta/246506-1/2023|H5N1|Chile|2023-03-31|other_mammal|B3.2	Chile	NA	NA	precise (Martha)	-23.47021421	-69.11665873
A/Sterna_hirundo/Rio_de_Janeiro/0613-N/2024|H5N1|Brazil|2024-03-09|avian|B3.2	Brazil	Rio_de_Janeiro	NA	city/town/municipality	-22.878889	-42.018889
A/Sterna_hirundo/Rio_de_Janeiro/0721-N/2024|H5N1|Brazil|2024-03-15|avian|B3.2	Brazil	Rio_de_Janeiro	NA	city/town/municipality	-22.526944	-41.945
A/Sterna_hirundo/Rio_de_Janeiro/0177-N/2024|H5N1|Brazil|2024-02-09|avian|B3.2	Brazil	Rio_de_Janeiro	NA	city/town/municipality	-22.370833	-41.786944
A/Pelican/CHL/226618-1/2022|H5N1|Chile|2022-12-05|avian|B3.2	Chile	NA	NA	precise (Martha)	-22.1	-70.2
A/Sterna_hirundo/Rio_de_Janeiro/0481-R/2024|H5N1|Brazil|2024-03-02|avian|B3.2	Brazil	Rio_de_Janeiro	NA	city/town/municipality	-21.47	-41.118889
A/Sterna_hirundo/Espirito_Santo/0155-N/2024|H5N1|Brazil|2024-02-02|avian|B3.2	Brazil	Espirito_Santo	NA	city/town/municipality	-21.011111	-40.833889
A/Sterna_hirundo/Espirito_Santo/0448-N/2024|H5N1|Brazil|2024-03-02|avian|B3.2	Brazil	Espirito_Santo	NA	city/town/municipality	-20.839167	-40.726667
A/pelican/Tarapaca/227436-2/2022|H5N1|Chile|2022-12-09|avian|B3.2	Chile	Tarapaca	NA	precise (Martha)	-20.216667	-70.15
A/Megascops_choliba/Espirito_Santo/1409-N/2023|H5N1|Brazil|2023-05-26|avian|B3.2	Brazil	Espirito_Santo	NA	city/town/municipality	-20.128889	-40.307778
A/sea_lion/Arica_y_Parinacota/240270-1/2023|H5N1|Chile|2023-03-01|other_mammal|B3.2	Chile	NA	NA	precise (Martha)	-18.78511	-70.34921
A/Inca_tern/Arica_y_Parinacota/227519-1/2022|H5N1|Chile|2022-12-12|avian|B3.2	Chile	NA	NA	precise (Martha)	-18.477778	-70.318056
A/sanderling/Arica_y_Parinacota/230758-1/2022|H5N1|Chile|2022-12-30|avian|B3.2	Chile	NA	NA	precise (Martha)	-18.477778	-70.318056
A/black_skimmer/Chile/C61962/2022|H5N1|Chile|2022-12-02|avian|B3.2	Chile	NA	NA	precise (Martha)	-18.4136444	-70.3245328
A/sea_lion/Peru/TAC-INS-010/2023|H5N1|Peru|2023-03-07|other_mammal|B3.2	Peru	NA	NA	precise (Martha)	-18.137864	-70.699826
A/sea_lion/Peru/TAC-INS-011/2023|H5N1|Peru|2023-03-07|other_mammal|B3.2	Peru	NA	NA	precise (Martha)	-17.64664722	-70.30376039
A/chicken/Cochabamba/39356/2023|H5N1|Bolivia|2023-01-26|avian|B3.2	Bolivia	NA	NA	city/town/municipality	-17.388333	-66.159722
A/chicken/Cochabamba/39383/2023|H5N1|Bolivia|2023-02-01|avian|B3.2	Bolivia	NA	NA	city/town/municipality	-17.388333	-66.159722
A/chicken/Cochabamba/39425/2023|H5N1|Bolivia|2023-02-07|avian|B3.2	Bolivia	NA	NA	city/town/municipality	-17.388333	-66.159722
A/chicken/Cochabamba/39476/2023|H5N1|Bolivia|2023-02-18|avian|B3.2	Bolivia	NA	NA	city/town/municipality	-17.388333	-66.159722
A/chicken/Cochabamba/39539/2023|H5N1|Bolivia|2023-03-03|avian|B3.2	Bolivia	NA	NA	city/town/municipality	-17.388333	-66.159722
A/sea_lion/Peru/AQP-SER00K/2023|H5N1|Peru|2023-02-07|other_mammal|B3.2	Peru	NA	NA	precise (Martha)	-12.91786123	-76.507071
A/Sea_Lion/Peru/LIM-SER036/2023|H5N1|Peru|2023-01-23|other_mammal|B3.2	Peru	NA	NA	precise (Martha)	-12.1218839	-77.045041
A/Belcher_gull/Peru/UNMSM-A267/2022|H5N1|Peru|2022-12-01|avian|B3.2	Peru	NA	NA	precise (Martha)	-12.1077	-77.0606
A/peruvian_booby/Peru/LIM-INS-004/2023|H5N1|Peru|2023-04-03|avian|B3.2	Peru	NA	NA	precise (Martha)	-12.1	-77.083333
A/lion/Peru/AIS0554/2023|H5N1|Peru|2023-02-08|feline|B3.2	Peru	NA	NA	precise (Martha)	-12.0621201	-75.1961831
A/chicken/Peru/AIS0551/2022|H5N1|Peru|2022-12-12|avian|B3.2	Peru	NA	NA	precise (Martha)	-12.059548	-77.03883
A/chicken/Peru/AIS0546/2022|H5N1|Peru|2022-12-18|avian|B3.2	Peru	NA	NA	precise (Martha)	-12.059548	-77.03883
A/chicken/Peru/AIS0548/2022|H5N1|Peru|2022-12-22|avian|B3.2	Peru	NA	NA	precise (Martha)	-12.059548	-77.03883
A/peruvian_booby/Peru/CAL-INS-008/2023|H5N1|Peru|2023-03-17|avian|B3.2	Peru	NA	NA	precise (Martha)	-12.052222	-77.139167
A/guanay_cormorant/Peru/CAL-INS-009/2023|H5N1|Peru|2023-03-17|avian|B3.2	Peru	NA	NA	precise (Martha)	-12.052222	-77.139167
A/chicken/Peru/LIM-INS-003/2022|H5N1|Peru|2022-11-29|avian|B3.2	Peru	NA	NA	precise (Martha)	-12.005696	-76.878978
A/peruvian_booby/Peru/LIM-INS-012/2023|H5N1|Peru|2023-04-12|avian|B3.2	Peru	NA	NA	precise (Martha)	-10.7953673	-77.744885
A/pelican/Peru/AIS0541/2022|H5N1|Peru|2022-11-16|avian|B3.2	Peru	NA	NA	precise (Martha)	-6.7172767	-79.906572
A/pelican/Peru/AIS0538/2022|H5N1|Peru|2022-11-10|avian|B3.2	Peru	NA	NA	precise (Martha)	-5.197348	-81.200409
A/dolphin/Peru/PIU-SER002/2022|H5N1|Peru|2022-11-22|other_mammal|B3.2	Peru	NA	NA	precise (Martha)	-5.1499528	-81.170758
A/dolphin/Peru/PIU-002/2022|H5N1|Peru|2022-11-22|other_mammal|B3.2	Peru	NA	NA	precise (Martha)	-5.14738205	-81.1719157
A/wildbird-Fregata-magnificens/Ecuador/IC03-4587/2023|H5N1|Ecuador|2023-01-11|avian|B3.2	Ecuador	NA	NA	precise (Martha)	-0.79805746	-80.5195928
A/pelican/Costa_Rica/INC-0018-D0370-23/2023|H5N1|Costa_Rica|2023-01-26|avian|B3.2	Costa_Rica	Limon	Playa Cocles	beach	9.6477	-82.7324
