# BEAST v10.5.0-beta5 Prerelease #fb0d1ded5
# Generated Thu Jun 05 20:22:06 CEST 2025 [seed=1749147714102]
# -overwrite B32_RRW_pols.xml
state	joint	prior	likelihood	Current Tree	location.precision.col11	location.precision.col12	location.precision.col21	location.precision.col22	correlation	location.varCovar.location.precision.col11	location.varCovar.location.precision.col12	location.varCovar.location.precision.col21	location.varCovar.location.precision.col22	location.diffusionRate	location.traitLikelihood
340000	-3819.726976024888	-716.9623290531614	-3102.7646469717265	522.0	5.161883412940423E-5	1.7212632527595375E-5	1.7212632527595375E-5	2.7888420539436033E-5	-0.453660787274633	24393.06431097089	-15055.311275625008	-15055.311275625007	45149.259664791294	3597.1172691055617	-3102.7646469717265
350000	-3948.8042675736547	-839.5716229305561	-3109.2326446430984	130.0	6.486398453790788E-5	1.6606791165399707E-5	1.6606791165399707E-5	2.8933097348150315E-5	-0.3833420389321485	18072.675833692763	-10373.212026305539	-10373.212026305539	40516.428356406555	3535.5319863987634	-3109.2326446430984
360000	-3852.110405917926	-827.7891909520562	-3024.32121496587	506.0	6.043422996851511E-5	2.0051175432202865E-5	2.0051175432202865E-5	3.831989844387902E-5	-0.41666417922328086	20023.106093198683	-10477.24104906828	-10477.241049068278	31578.39784185639	3577.1695725213563	-3024.32121496587
370000	-3869.871613649331	-796.7460160399036	-3073.125597609427	448.0	4.748080019185844E-5	1.5621891792309986E-5	1.5621891792309986E-5	3.206106829904769E-5	-0.40039220685706867	25082.164769213367	-12221.391386174724	-12221.391386174724	37145.40147814304	3657.6497855106745	-3073.125597609427
380000	-3980.2907121846183	-821.9217534729521	-3158.368958711666	706.0	4.704401332213034E-5	1.4762278406898113E-5	1.4762278406898113E-5	2.9708400243025274E-5	-0.394876761542102	25183.49287360194	-12513.825383294643	-12513.825383294641	39878.706512365876	3661.074220838963	-3158.368958711666
390000	-3991.08613269513	-829.7200997145944	-3161.3660329805352	976.0	5.806173076961409E-5	2.441476425510281E-5	2.441476425510281E-5	3.374026252191402E-5	-0.5516115074861273	24755.549578654398	-17913.343340935873	-17913.343340935873	42600.440756977456	3451.8966413389594	-3161.3660329805352
400000	-3947.598651904434	-754.7718661050758	-3192.8267857993583	188.0	5.4901400273404464E-5	1.5042840352565706E-5	1.5042840352565706E-5	2.8249517941904982E-5	-0.3819729555612052	21326.00734603457	-11356.077810735496	-11356.0778107355	41445.93433226048	3579.813954100515	-3192.8267857993583
410000	-3830.2453245900333	-699.2615027271198	-3130.9838218629134	701.0	4.4564196257990744E-5	1.0439874324626221E-5	1.0439874324626221E-5	2.4161002774433357E-5	-0.31815939633528717	24966.814359833163	-10788.062343122036	-10788.062343122036	46050.48993437405	3525.028248364656	-3130.9838218629134
420000	-3831.9110787564027	-666.7985515744166	-3165.112527181986	109.0	4.962612482615292E-5	1.6582439223712463E-5	1.6582439223712463E-5	2.403517425507004E-5	-0.4801418869257732	26187.947480484705	-18067.688749845765	-18067.688749845765	54071.01845051648	3539.360852275986	-3165.112527181986
430000	-3867.835498907796	-721.5520572184433	-3146.283441689353	260.0	5.380367000809937E-5	1.5807283359560618E-5	1.5807283359560618E-5	2.7608645831165582E-5	-0.41013679705832007	22344.75254176005	-12793.450181759661	-12793.450181759663	43545.40601235789	3560.07036908562	-3146.283441689353
