trait	admin1	admin2	latitude	longitude
A/pheasant/Pennsylvania/23-040876-001-original/2023|H5N1|USA-PA|2023-12-21|avian|C2.1	USA-PA	Northumberland	40.6511468704104	-76.8731865412436
A/peafowl/Ohio/24-005906-001-original/2024|H5N1|USA-OH|2024-02-23|avian|C2.1	USA-OH	Mahoning	40.9322213057202	-80.8446243178178
A/poultry/Ohio/24-005906-002-original/2024|H5N1|USA-OH|2024-02-23|avian|C2.1	USA-OH	Mahoning	40.9603778599208	-80.6059489544903
A/Great_Black-Backed_Gull/Massachusetts/24WP00029/2024|H5N1|USA-MA|2024-03-18|avian|C2.1	USA-MA	Nantucket	41.2615561590287	-70.0948813296499
A/Great_Black-Backed_Gull/Massachusetts/24WP00030/2024|H5N1|USA-MA|2024-03-18|avian|C2.1	USA-MA	Nantucket	41.2476382310412	-70.0798437728389
A/great_black-backed_gull/Rhode_Island/24-014172-002-original/2024|H5N1|USA-RI|2024-04-30|avian|C2.1	USA-RI	Washington	41.4713657772386	-71.5029352990331
A/herring_gull/Rhode_Island/24-016702-001-original/2024|H5N1|USA-RI|2024-05-23|avian|C2.1	USA-RI	Washington	41.4236004047677	-71.7234589361839
A/brandt_goose/Rhode_Island/24HP00104/2024|H5N1|USA-RI|2024-03-08|avian|C2.1	USA-RI	Kent	41.6425124276365	-71.6095398884998
A/Herring_gull/Rhode_Island/24HP00137/2024|H5N1|USA-RI|2024-04-23|avian|C2.1	USA-RI	Bristol	41.7680326543992	-71.3121342923033
A/Canada_Goose/Massachusetts/23NE01751/2024|H5N1|USA-MA|2024-01-16|avian|C2.1	USA-MA	Barnstable	41.7241236750566	-70.5367910560112
A/American_Crow/Massachusetts/23NE01756/2024|H5N1|USA-MA|2024-03-07|avian|C2.1	USA-MA	Barnstable	41.9592549206524	-70.0511483878606
A/sanderling/Massachusetts/23NE01769/2024|H5N1|USA-MA|2024-03-07|avian|C2.1	USA-MA	Barnstable	41.7024556588205	-70.6065506213038
A/sanderling/Massachusetts/23NE01770/2024|H5N1|USA-MA|2024-03-07|avian|C2.1	USA-MA	Barnstable	41.6407783675673	-70.627924792131
A/Red-Tailed_Hawk/Massachusetts/23NE01774/2024|H5N1|USA-MA|2024-03-07|avian|C2.1	USA-MA	Barnstable	41.6184011237043	-70.4912051827035
A/American_Crow/Massachusetts/23NE01779/2024|H5N1|USA-MA|2024-03-20|avian|C2.1	USA-MA	Barnstable	41.6948508507375	-70.1855665671302
A/Red-Tailed_Hawk/Massachusetts/23NE01782/2024|H5N1|USA-MA|2024-03-20|avian|C2.1	USA-MA	Barnstable	41.7011027481032	-70.4221866244793
A/Sanderling/Massachusetts/23NE01785/2024|H5N1|USA-MA|2024-03-20|avian|C2.1	USA-MA	Barnstable	41.6404060491959	-70.5740792112242
A/American_Crow/Massachusetts/23NE01794/2024|H5N1|USA-MA|2024-04-04|avian|C2.1	USA-MA	Barnstable	41.7057225742556	-70.4444005138684
A/Canada_Goose/Massachusetts/23WI00306/2024|H5N1|USA-MA|2024-01-13|avian|C2.1	USA-MA	Barnstable	41.6797507057462	-70.3351563093898
A/Red-Tailed_Hawk/Massachusetts/23WI00307/2024|H5N1|USA-MA|2024-01-13|avian|C2.1	USA-MA	Barnstable	41.6632204851989	-69.9667495980911
A/Great_Black-backed_Gull/Massachusetts/23WI00340/2024|H5N1|USA-MA|2024-02-18|avian|C2.1	USA-MA	Barnstable	41.6696433986298	-70.5498984610578
A/Herring_Gull/Massachusetts/23WI00341/2024|H5N1|USA-MA|2024-02-18|avian|C2.1	USA-MA	Barnstable	41.6935009367501	-70.3579705606397
A/Herring_Gull/Massachusetts/23WI00346/2024|H5N1|USA-MA|2024-02-22|avian|C2.1	USA-MA	Barnstable	41.739481600102	-70.5312113698694
A/Sanderling/Massachusetts/23WI00347/2024|H5N1|USA-MA|2024-02-23|avian|C2.1	USA-MA	Barnstable	41.7790374806161	-69.9524867851707
A/Sanderling/Massachusetts/23WI00351/2024|H5N1|USA-MA|2024-02-24|avian|C2.1	USA-MA	Barnstable	41.9863235379089	-70.045306189919
A/Great_Black-backed_Gull/Massachusetts/23WI00355/2024|H5N1|USA-MA|2024-02-27|avian|C2.1	USA-MA	Barnstable	41.7024409750948	-70.217796851714
A/Great_Black-backed_Gull/Massachusetts/23WI00356/2024|H5N1|USA-MA|2024-02-27|avian|C2.1	USA-MA	Barnstable	41.8902470299637	-69.9962073713134
A/Great_Black-backed_Gull/Massachusetts/23WI00358/2024|H5N1|USA-MA|2024-02-28|avian|C2.1	USA-MA	Barnstable	41.9086015758632	-69.9930679919195
A/Herring_Gull/Massachusetts/23WI00359/2024|H5N1|USA-MA|2024-03-01|avian|C2.1	USA-MA	Barnstable	41.6794376578092	-70.2288307068538
A/American_Crow/Massachusetts/23WI00360/2024|H5N1|USA-MA|2024-03-01|avian|C2.1	USA-MA	Barnstable	41.7681774122657	-70.5018424696405
A/Sanderling/Massachusetts/23WI00364/2024|H5N1|USA-MA|2024-03-04|avian|C2.1	USA-MA	Barnstable	41.765355264724	-70.0038454268894
A/Sanderling/Massachusetts/23WI00367/2024|H5N1|USA-MA|2024-03-11|avian|C2.1	USA-MA	Barnstable	41.5491515756882	-70.6198483403408
A/Sanderling/Massachusetts/23WI00369/2024|H5N1|USA-MA|2024-03-13|avian|C2.1	USA-MA	Barnstable	41.8999082345186	-69.9730519022103
A/Sanderling/Massachusetts/23WI00370/2024|H5N1|USA-MA|2024-03-14|avian|C2.1	USA-MA	Barnstable	41.7046295180991	-70.4624536715076
A/American_crow/Massachusetts/23WI00384/2024|H5N1|USA-MA|2024-03-31|avian|C2.1	USA-MA	Barnstable	41.754416716545	-70.0466284369202
A/Great_Black-backed_Gull/Massachusetts/23WI00392/2024|H5N1|USA-MA|2024-04-04|avian|C2.1	USA-MA	Barnstable	41.7272369871827	-70.2888909384517
A/Corvus_ossifragus/MA/24-000869-001/2023|H5N1|USA-MA|2023-12-12|avian|C2.1	USA-MA	Barnstable	41.5961526183875	-70.55512675798
A/Great_Black-backed_Gulll/MA/24-000869-002/2023|H5N1|USA-MA|2023-12-24|avian|C2.1	USA-MA	Barnstable	41.6665453999246	-70.1309761094076
A/chicken/Massachusetts/24-001134-001-original/2024|H5N1|USA-MA|2024-01-10|avian|C2.1	USA-MA	Barnstable	41.6838793320579	-70.5129457337724
A/sanderling/Massachusetts/24MM00280/2024|H5N1|USA-MA|2024-04-05|avian|C2.1	USA-MA	Barnstable	41.9421895873612	-70.0754165593339
A/sanderling/Massachusetts/24MM00281/2024|H5N1|USA-MA|2024-04-05|avian|C2.1	USA-MA	Barnstable	41.6387096521595	-70.5526506103873
A/sanderling/Massachusetts/24MM00282/2024|H5N1|USA-MA|2024-04-05|avian|C2.1	USA-MA	Barnstable	41.7596180498818	-70.0490921257532
A/sanderling/Massachusetts/24MM00283/2024|H5N1|USA-MA|2024-04-05|avian|C2.1	USA-MA	Barnstable	41.7258197736218	-70.4820254506063
A/sanderling/Massachusetts/24MM00286/2024|H5N1|USA-MA|2024-04-05|avian|C2.1	USA-MA	Barnstable	42.0587138266284	-70.1743191340116
A/sanderling/Massachusetts/24MM00287/2024|H5N1|USA-MA|2024-04-05|avian|C2.1	USA-MA	Barnstable	41.8837418004251	-69.9815807936303
A/American_crow/Massachusetts/24NE00007/2024|H5N1|USA-MA|2024-04-19|avian|C2.1	USA-MA	Barnstable	41.7406562805999	-70.0946337602479
A/American_Crow/Massachusetts/24NE00096/2024|H5N1|USA-MA|2024-04-11|avian|C2.1	USA-MA	Barnstable	41.6631300164696	-70.4779338936027
A/Red-Tailed_Hawk/Massachusetts/24WI00004/2024|H5N1|USA-MA|2024-04-15|avian|C2.1	USA-MA	Barnstable	41.9693789131004	-70.0363247381165
A/American_Crow/Massachusetts/24WI00016/2024|H5N1|USA-MA|2024-04-28|avian|C2.1	USA-MA	Barnstable	41.6615723096163	-70.3839481590718
A/sanderling/Massachusetts/24MM00284/2024|H5N1|USA-MA|2024-04-05|avian|C2.1	USA-MA	Barnstable	41.7473500983647	-70.5172160826356
A/sanderling/Massachusetts/24MM00285/2024|H5N1|USA-MA|2024-04-05|avian|C2.1	USA-MA	Barnstable	41.8767362936917	-69.9719698890482
A/bald_eagle/Massachusetts/24MM00234/2024|H5N1|USA-MA|2024-03-27|avian|C2.1	USA-MA	Bristol	41.640967458162	-71.0832247188185
A/bald_eagle/Massachusetts/24MM00241/2024|H5N1|USA-MA|2024-03-27|avian|C2.1	USA-MA	Bristol	41.7282952252538	-71.104884496502
A/partridge/New_York/23-039086-003-original/2023|H5N1|USA-NY|2023-12-11|avian|C2.1	USA-NY	Dutchess	41.8909965458453	-73.6546005983697
A/partridge/New_York/23-039086-005-original/2023|H5N1|USA-NY|2023-12-11|avian|C2.1	USA-NY	Dutchess	41.8227694219188	-73.9002998448506
A/surf_scoter/Rhode_Island/24HP00111/2024|H5N1|USA-RI|2024-03-08|avian|C2.1	USA-RI	Providence	41.7480901775049	-71.6637316829133
A/Common_Eider/Massachusetts/23NE01730/2024|H5N1|USA-MA|2024-03-07|avian|C2.1	USA-MA	Plymouth	42.0852706404179	-71.0130242368545
A/White-winged_Scoter/Massachusetts/23NE01739/2024|H5N1|USA-MA|2024-03-15|avian|C2.1	USA-MA	Plymouth	42.1274411696262	-70.7722821676115
A/common_raven/Massachusetts/24HP00517/2024|H5N1|USA-MA|2024-03-26|avian|C2.1	USA-MA	Plymouth	41.9398751209404	-70.6995648923187
A/Great_Black-backed_Gull/Massachusetts/24MM00212/2024|H5N1|USA-MA|2024-03-24|avian|C2.1	USA-MA	Norfolk	42.2196258275309	-71.2753911523169
A/Great_Black-backed_Gull/Massachusetts/24MM00219/2024|H5N1|USA-MA|2024-03-25|avian|C2.1	USA-MA	Norfolk	42.1647904802938	-71.3902888221519
A/herring_gull/Massachusetts/24MM00329/2024|H5N1|USA-MA|2024-04-13|avian|C2.1	USA-MA	Norfolk	42.2525965483212	-70.9999358187722
A/bald_eagle/Massachusetts/24HP00061/2024|H5N1|USA-MA|2024-02-23|avian|C2.1	USA-MA	Worcester	42.3970342376995	-71.6891359274486
A/bald_eagle/Massachusetts/24HP00062/2024|H5N1|USA-MA|2024-02-23|avian|C2.1	USA-MA	Worcester	42.0366528320206	-71.6653458191249
A/white-winged_scoter/Massachusetts/24HP00063/2024|H5N1|USA-MA|2024-02-23|avian|C2.1	USA-MA	Worcester	42.4903820816234	-71.6676884841492
A/bald_eagle/Massachusetts/24MM00088/2024|H5N1|USA-MA|2024-02-20|avian|C2.1	USA-MA	Worcester	42.3363195253713	-71.7116084831032
A/bald_eagle/Massachusetts/24MM00089/2024|H5N1|USA-MA|2024-02-20|avian|C2.1	USA-MA	Worcester	42.2091958154875	-72.2036476378703
A/Red-Tailed_Hawk/Massachusetts/23NE01728/2024|H5N1|USA-MA|2024-03-15|avian|C2.1	USA-MA	Suffolk	42.2739819589806	-71.1721468464666
A/lesser_scaup/Massachusetts/24MM00032/2024|H5N1|USA-MA|2024-02-03|avian|C2.1	USA-MA	Suffolk	42.3095455522144	-71.1135265765815
A/Canada_Goose/Massachusetts/24HP00050/2024|H5N1|USA-MA|2024-02-20|avian|C2.1	USA-MA	Middlesex	42.5988160153348	-71.3975172228591
A/Canada_Goose/Massachusetts/24MM00070/2024|H5N1|USA-MA|2024-02-16|avian|C2.1	USA-MA	Middlesex	42.3941812498351	-71.4325902037941
A/great_horned_owl/Massachusetts/24MM00193/2024|H5N1|USA-MA|2024-03-17|avian|C2.1	USA-MA	Middlesex	42.6901284203005	-71.758796564537
A/Canada_Goose/Massachusetts/23SN01946/2024|H5N1|USA-MA|2024-02-05|avian|C2.1	USA-MA	Essex	42.6007446844538	-70.6931875096831
A/Canada_Goose/Massachusetts/23SN01947/2024|H5N1|USA-MA|2024-02-05|avian|C2.1	USA-MA	Essex	42.6404383270535	-70.7885636518502
A/Canada_Goose/Massachusetts/23SN01965/2024|H5N1|USA-MA|2024-02-06|avian|C2.1	USA-MA	Essex	42.7377615117369	-70.9480605771525
A/Canada_Goose/Massachusetts/23SN01966/2024|H5N1|USA-MA|2024-02-05|avian|C2.1	USA-MA	Essex	42.6939032344622	-70.858380040428
A/Canada_Goose/Massachusetts/23SN01967/2024|H5N1|USA-MA|2024-02-05|avian|C2.1	USA-MA	Essex	42.618419384492	-70.8384920284278
A/Canada_Goose/Massachusetts/23SN01978/2024|H5N1|USA-MA|2024-02-05|avian|C2.1	USA-MA	Essex	42.6496964777948	-70.8782950572253
A/Canada_Goose/Massachusetts/23SN01987/2024|H5N1|USA-MA|2024-02-05|avian|C2.1	USA-MA	Essex	42.6740204832044	-71.0759057455372
A/Canada_Goose/Massachusetts/23SN01988/2024|H5N1|USA-MA|2024-02-05|avian|C2.1	USA-MA	Essex	42.714675043392	-71.0975716177223
A/Canada_Goose/Massachusetts/23SN01997/2024|H5N1|USA-MA|2024-02-06|avian|C2.1	USA-MA	Essex	42.7063495467052	-70.8800286350194
A/Canada_Goose/Massachusetts/23SN01998/2024|H5N1|USA-MA|2024-02-05|avian|C2.1	USA-MA	Essex	42.7809567701252	-70.9861643853382
A/chicken/Massachusetts/24-003817-001-original/2024|H5N1|USA-MA|2024-02-02|avian|C2.1	USA-MA	Essex	42.8568041497943	-70.9034777218945
A/Canada_Goose/MA/24-004865-005/2024|H5N1|USA-MA|2024-02-05|avian|C2.1	USA-MA	Essex	42.7667703875557	-70.982811029224
A/Canada_Goose/Massachusetts/24HP00005/2024|H5N1|USA-MA|2024-02-05|avian|C2.1	USA-MA	Essex	42.744709599059	-70.8306593898342
A/Canada_Goose/Massachusetts/24HP00007/2024|H5N1|USA-MA|2024-02-05|avian|C2.1	USA-MA	Essex	42.7519916656017	-71.135353376611
A/Canada_Goose/Massachusetts/24HP00009/2024|H5N1|USA-MA|2024-02-05|avian|C2.1	USA-MA	Essex	42.5586382035891	-71.0624061247595
A/Canada_Goose/Massachusetts/24HP00018/2024|H5N1|USA-MA|2024-02-08|avian|C2.1	USA-MA	Essex	42.6621556730085	-71.1559666195935
A/Canada_Goose/Massachusetts/24HP00022/2024|H5N1|USA-MA|2024-02-08|avian|C2.1	USA-MA	Essex	42.7184782977837	-70.8278402580507
A/Canada_Goose/Massachusetts/24HP00031/2024|H5N1|USA-MA|2024-02-08|avian|C2.1	USA-MA	Essex	42.8015919658937	-70.8091728609288
A/Canada_Goose/Massachusetts/24HP00033/2024|H5N1|USA-MA|2024-02-08|avian|C2.1	USA-MA	Essex	42.4884682949902	-71.0012124791067
A/Canada_Goose/Massachusetts/24HP00036/2024|H5N1|USA-MA|2024-02-08|avian|C2.1	USA-MA	Essex	42.6030271925662	-70.7078649613971
A/Canada_Goose/Massachusetts/24HP00037/2024|H5N1|USA-MA|2024-02-08|avian|C2.1	USA-MA	Essex	42.4984023818895	-70.9385991231838
A/Canada_Goose/Massachusetts/24HP00038/2024|H5N1|USA-MA|2024-02-08|avian|C2.1	USA-MA	Essex	42.8234175561551	-70.9497929532724
A/sanderling/Massachusetts/24HP00039/2024|H5N1|USA-MA|2024-02-12|avian|C2.1	USA-MA	Essex	42.665405417887	-71.2107580178679
A/sanderling/Massachusetts/24HP00040/2024|H5N1|USA-MA|2024-02-12|avian|C2.1	USA-MA	Essex	42.589388229994	-70.9107011885923
A/white-winged_scoter/Massachusetts/24HP00067/2024|H5N1|USA-MA|2024-02-23|avian|C2.1	USA-MA	Essex	42.7317044177812	-71.1654266103106
A/white-winged_scoter/Massachusetts/24HP00069/2024|H5N1|USA-MA|2024-02-23|avian|C2.1	USA-MA	Essex	42.6289598872434	-70.9088965754191
A/white-winged_scoter/Massachusetts/24HP00070/2024|H5N1|USA-MA|2024-02-23|avian|C2.1	USA-MA	Essex	42.7197863566979	-71.0973412096478
A/white-winged_scoter/Massachusetts/24HP00073/2024|H5N1|USA-MA|2024-02-28|avian|C2.1	USA-MA	Essex	42.6761949609515	-71.1934363985943
A/white-winged_scoter/Massachusetts/24HP00075/2024|H5N1|USA-MA|2024-02-26|avian|C2.1	USA-MA	Essex	42.6167670024254	-70.9676794925968
A/white-winged_scoter/Massachusetts/24HP00076/2024|H5N1|USA-MA|2024-02-26|avian|C2.1	USA-MA	Essex	42.6846914446272	-71.0714979329004
A/black_scoter/Massachusetts/24HP00081/2024|H5N1|USA-MA|2024-03-02|avian|C2.1	USA-MA	Essex	42.5572720783535	-70.9638254951459
A/herring_gull/Massachusetts/24HP00083/2024|H5N1|USA-MA|2024-03-03|avian|C2.1	USA-MA	Essex	42.5241555019202	-70.936481946962
A/herring_gull/Massachusetts/24HP00084/2024|H5N1|USA-MA|2024-03-03|avian|C2.1	USA-MA	Essex	42.779305562426	-70.9701134361764
A/common_loon/Massachusetts/24HP00251/2024|H5N1|USA-MA|2024-03-07|avian|C2.1	USA-MA	Essex	42.6855121343727	-71.1512418808229
A/common_loon/Massachusetts/24HP00252/2024|H5N1|USA-MA|2024-03-07|avian|C2.1	USA-MA	Essex	42.6301429219862	-70.8860703286694
A/common_loon/Massachusetts/24HP00254/2024|H5N1|USA-MA|2024-03-07|avian|C2.1	USA-MA	Essex	42.6698324060368	-71.1035273815908
A/common_loon/Massachusetts/24HP00255/2024|H5N1|USA-MA|2024-03-07|avian|C2.1	USA-MA	Essex	42.7652088707634	-71.0902276593883
A/common_loon/Massachusetts/24HP00270/2024|H5N1|USA-MA|2024-03-11|avian|C2.1	USA-MA	Essex	42.5430227494947	-70.9657789805531
A/Scoter/Massachusetts/24HP00405/2024|H5N1|USA-MA|2024-04-12|avian|C2.1	USA-MA	Essex	42.5907384123293	-71.017709850997
A/Scoter/Massachusetts/24HP00407/2024|H5N1|USA-MA|2024-04-12|avian|C2.1	USA-MA	Essex	42.6178185787124	-71.0049605847198
A/white-winged_scoter/Massachusetts/24MM00090/2024|H5N1|USA-MA|2024-02-21|avian|C2.1	USA-MA	Essex	42.6513906655591	-70.9452427117009
A/white-winged_scoter/Massachusetts/24MM00091/2024|H5N1|USA-MA|2024-02-21|avian|C2.1	USA-MA	Essex	42.5836146764988	-70.7777523169749
A/white-winged_scoter/Massachusetts/24MM00106/2024|H5N1|USA-MA|2024-02-23|avian|C2.1	USA-MA	Essex	42.7767994592501	-70.8686930501742
A/white-winged_scoter/Massachusetts/24MM00122/2024|H5N1|USA-MA|2024-02-27|avian|C2.1	USA-MA	Essex	42.6535557314365	-70.7167174228683
A/white-winged_scoter/Massachusetts/24MM00123/2024|H5N1|USA-MA|2024-02-27|avian|C2.1	USA-MA	Essex	42.555317206317	-71.0150791942866
A/white-winged_scoter/Massachusetts/24MM00125/2024|H5N1|USA-MA|2024-02-26|avian|C2.1	USA-MA	Essex	42.6593645066082	-71.1363229567938
A/white-winged_scoter/Massachusetts/24MM00169/2024|H5N1|USA-MA|2024-03-11|avian|C2.1	USA-MA	Essex	42.7920723235988	-70.9455017372969
A/White-winged_Scoter/Massachusetts/24MM00170/2024|H5N1|USA-MA|2024-03-11|avian|C2.1	USA-MA	Essex	42.7179319783848	-70.8735000640863
A/common_loon/Massachusetts/24MM00171/2024|H5N1|USA-MA|2024-03-11|avian|C2.1	USA-MA	Essex	42.6165626186358	-70.8371474336471
A/Canada_goose/Massachusetts/23SN01904/2024|H5N1|USA-MA|2024-02-12|avian|C2.1	USA-MA	Suffolk	42.3000505811109	-71.0911704843266
A/Canada_Goose/Massachusetts/23SN01943/2024|H5N1|USA-MA|2024-02-12|avian|C2.1	USA-MA	Suffolk	42.3509132709047	-71.1283875085123
A/Canada_Goose/Massachusetts/23SN01954/2024|H5N1|USA-MA|2024-02-14|avian|C2.1	USA-MA	Suffolk	42.3507654547187	-71.0461228502803
A/Canada_goose/Massachusetts/23SN01963/2024|H5N1|USA-MA|2024-02-14|avian|C2.1	USA-MA	Suffolk	42.325275092921	-71.0501988116695
A/Canada_goose/Massachusetts/23SN01964/2024|H5N1|USA-MA|2024-02-12|avian|C2.1	USA-MA	Suffolk	42.291763437606	-71.0604386370011
A/Canada_goose/Massachusetts/23SN01983/2024|H5N1|USA-MA|2024-02-14|avian|C2.1	USA-MA	Suffolk	42.3036803826948	-71.1109127292772
A/Canada_goose/Massachusetts/23SN01984/2024|H5N1|USA-MA|2024-02-14|avian|C2.1	USA-MA	Suffolk	42.3440191824373	-71.0274231429317
A/Canada_goose/Massachusetts/23SN01985/2024|H5N1|USA-MA|2024-02-10|avian|C2.1	USA-MA	Suffolk	42.3686962653716	-71.0540329074523
A/Herring_gull/New_Hampshire/23NE01700/2024|H5N1|USA-NH|2024-02-27|avian|C2.1	USA-NH	Rockingham	42.9947144618481	-71.2155274847495
A/Herring_gull/NH/24-014129-001/2024|H5N1|USA-NH|2024-02-27|avian|C2.1	USA-NH	Rockingham	43.0471349822169	-70.828625067368
A/green-winged_teal/New_York/23-033302-033-original/2023|H5N1|USA-NY|2023-10-21|avian|C2.1	USA-NY	Genesee	42.9055262664155	-78.155472943198
A/chicken/New_York/24-005701-001-original/2024|H5N1|USA-NY|2024-02-22|avian|C2.1	USA-NY	Onondaga	42.9672190217246	-75.9723886183448
A/Great_Horned_Owl/New_Hampshire/23NE01620/2024|H5N1|USA-NH|2024-02-03|avian|C2.1	USA-NH	Strafford	43.1671430935856	-70.9672145338679
A/mallard/New_Hampshire/24-002162-001-original/2024|H5N1|USA-NH|2024-01-17|avian|C2.1	USA-NH	Merrimack	43.2196030925955	-71.797719568575
A/mallard/New_Hampshire/24-004334-001-original/2024|H5N1|USA-NH|2024-02-02|avian|C2.1	USA-NH	Sullivan	43.2434844327394	-72.1398043618469
A/mallard/New_Hampshire/24-004334-002-original/2024|H5N1|USA-NH|2024-02-02|avian|C2.1	USA-NH	Sullivan	43.3555746529483	-72.3067960601926
A/mallard/New_Hampshire/24-004334-004-original/2024|H5N1|USA-NH|2024-02-02|avian|C2.1	USA-NH	Sullivan	43.3203271712324	-72.3309475706174
