trait,location,latitude,longitude,coordinate_type
A/pheasant/California/25-000138-002/2024|H5N1|USA-CA|2024-12-30|avian|D1.1,USA-CA,36.7496,-119.591,centroid
A/pheasant/California/25-000138-003/2024|H5N1|USA-CA|2024-12-30|avian|D1.1,USA-CA,36.7496,-119.591,centroid
A/pheasant/California/25-000138-004/2024|H5N1|USA-CA|2024-12-30|avian|D1.1,USA-CA,36.7496,-119.591,centroid
A/pheasant/California/25-000138-005/2024|H5N1|USA-CA|2024-12-30|avian|D1.1,USA-CA,36.7496,-119.591,centroid
A/pheasant/California/25-000138-006/2024|H5N1|USA-CA|2024-12-30|avian|D1.1,USA-CA,36.7496,-119.591,centroid
A/chicken/Colorado/24-036613-001/2024|H5N1|USA-CO|2024-12-04|avian|D1.1,USA-CO,38.9998,-105.543,centroid
A/Chicken/DE/25-000201-001/2025|H5N1|USA-DE|2025-01-02|avian|D1.1,USA-DE,38.8657,-75.4112,centroid
A/Chicken/FL/25-000345-001/2025|H5N1|USA-FL|2025-01-02|avian|D1.1,USA-FL,28.1568,-81.6228,centroid
A/Chicken/FL/25-000345-002/2025|H5N1|USA-FL|2025-01-02|avian|D1.1,USA-FL,28.1568,-81.6228,centroid
A/Chicken/GA/25-000538-001/2025|H5N1|USA-GA|2025-01-06|avian|D1.1,USA-GA,32.8547,-83.4078,centroid
A/chicken/Iowa/24-036502-001/2024|H5N1|USA-IA|2024-12-08|avian|D1.1,USA-IA,42.0423,-93.3891,centroid
A/chicken/Iowa/24-036502-002/2024|H5N1|USA-IA|2024-12-08|avian|D1.1,USA-IA,42.0423,-93.3891,centroid
A/turkey/Iowa/24-036948-001/2024|H5N1|USA-IA|2024-12-10|avian|D1.1,USA-IA,42.0423,-93.3891,centroid
A/turkey/Iowa/24-036948-002/2024|H5N1|USA-IA|2024-12-10|avian|D1.1,USA-IA,42.0423,-93.3891,centroid
A/chicken/Iowa/24-037489-001/2024|H5N1|USA-IA|2024-12-12|avian|D1.1,USA-IA,42.0423,-93.3891,centroid
A/chicken/Iowa/24-037489-002/2024|H5N1|USA-IA|2024-12-12|avian|D1.1,USA-IA,42.0423,-93.3891,centroid
A/chicken/Iowa/24-037489-003/2024|H5N1|USA-IA|2024-12-12|avian|D1.1,USA-IA,42.0423,-93.3891,centroid
A/chicken/Iowa/24-037490-001/2024|H5N1|USA-IA|2024-12-13|avian|D1.1,USA-IA,42.0423,-93.3891,centroid
A/chicken/Iowa/24-037490-002/2024|H5N1|USA-IA|2024-12-13|avian|D1.1,USA-IA,42.0423,-93.3891,centroid
