state	flyway.rates.Atlantic.Central	flyway.rates.Atlantic.Mississippi	flyway.rates.Atlantic.Pacific	flyway.rates.Central.Mississippi	flyway.rates.Central.Pacific	flyway.rates.Mississippi.Pacific	flyway.rates.Central.Atlantic	flyway.rates.Mississippi.Atlantic	flyway.rates.Pacific.Atlantic	flyway.rates.Mississippi.Central	flyway.rates.Pacific.Central	flyway.rates.Pacific.Mississippi	flyway.indicators.Atlantic.Central	flyway.indicators.Atlantic.Mississippi	flyway.indicators.Atlantic.Pacific	flyway.indicators.Central.Mississippi	flyway.indicators.Central.Pacific	flyway.indicators.Mississippi.Pacific	flyway.indicators.Central.Atlantic	flyway.indicators.Mississippi.Atlantic	flyway.indicators.Pacific.Atlantic	flyway.indicators.Mississippi.Central	flyway.indicators.Pacific.Central	flyway.indicators.Pacific.Mississippi	flyway.nonZeroRates
22400000	0.7542012671127978	0.2880240062905123	0.017890968156562655	1.615854119526879	0.22151890069590346	0.0637308215715512	0.4030413734761971	1.7658960312468277	0.7188761431456303	0.6406133882792013	2.9925831801119505	1.2812148938777177	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0
22500000	2.429801276518741	0.22521136468187822	2.441264337119132	1.5698252274206614	0.2854006303697963	0.25887479217142434	0.9145600756138726	0.6801747831313367	0.3995442536156128	0.5335581947149989	2.5369227463510344	0.5317709468592	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	8.0
22600000	0.41220081883523974	0.3521449398617887	0.9905866828374315	1.764400530969221	0.25170100118862115	0.052637676052477315	0.2915844327439107	1.5588795398678683	0.22687204639658462	0.7571699440625469	2.2569225083883673	1.1429272733025841	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	9.0
22700000	0.4609108382598886	0.2135497760184536	0.1526908257043678	1.4980565586769667	0.14027459371296147	1.1251628913536103	0.45276726194236383	1.4053342912992324	0.3473794841018178	0.6749992222526752	2.574639319779125	0.641484895912497	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	9.0
22800000	2.1312102210817025	0.24110517784601193	0.2254961298919055	1.607553938758476	0.04572468403493191	0.43874040474449083	0.7052348607217379	0.9635987429496543	0.15012336458930123	0.41533391418200455	2.863845922552876	0.8222485820647718	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	9.0
22900000	3.0147597610422388	0.20495852007419962	1.0517300119590554	1.865031045193287	0.07620020284882667	0.7227706199484459	0.15482748528424334	1.5470554604475302	0.7139410780737933	0.4169027486999795	3.6891156709388473	1.0071377075008017	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	8.0
23000000	0.6228148505813693	0.1725528877777229	1.2727079443859168	1.6541229253465388	0.10848333505949476	1.0282845313031324	0.10214197183511646	2.054886831851239	0.6128092729505221	1.081799916027138	3.654444092694384	1.1550912261069544	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	8.0
23100000	0.10612988042950137	0.030877251763804035	5.121806633974022	0.9363422644921117	1.2644637775760477	0.0012712341842342734	0.2695047345702459	0.5574245505165119	0.3362369009481304	0.3507130008714644	0.03329332773225504	0.7679185444199776	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	8.0
23200000	0.0265657847113808	0.38347039457292953	1.1861252288124082	1.1205804913056046	0.12013880422419823	0.09354273284922379	0.43523576450146684	1.1384604019812063	0.5024498887145763	0.8428727710340266	3.068312358076626	0.7576269855596014	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0
23300000	0.052553721782335	0.43955812250668175	0.1376330369374349	2.6077213946576974	0.1351131212737541	0.9437810278279999	0.7979672443969735	1.3701951306914826	0.18541590073365743	0.8994690347371249	4.332043530072717	1.2061948454473035	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0
23400000	1.301293623112663	0.24248908786754672	1.3305001951984405	2.43234913390001	0.17152680756402355	2.3686806656447006	0.6456193219042304	1.5922218317810395	0.1683859898847832	0.7456644606441902	3.169210772442576	1.2311279106176207	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	9.0
23500000	0.7635328572049479	0.20491149746016069	0.2572866988124445	1.5734831127970812	0.4226928513286689	0.017297015231050705	0.41677584971263043	0.8724952544459609	0.023780906563434696	0.2656404260243398	2.03952629952828	0.44832565670072616	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	9.0
23600000	0.004081460239358466	0.1265299333845644	2.359672445422147	2.4302313414851433	0.25052037574985125	0.34628484579677177	0.7359921146215894	2.0421427373978993	0.756504375493203	1.1114317143340517	3.7571062183354336	2.027045106214435	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	9.0
23700000	0.47220556467961183	0.58592835317045	0.6765324533177463	3.3965881890601164	0.11603028888033456	0.22967769338803887	1.2955130630495348	2.4990829296267605	0.8453239270690771	1.3017393247342461	6.757816637022429	2.2764943991979876	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	9.0
23800000	0.717553261729277	0.41394613557086174	0.14426972293753937	1.7800470034764897	0.06672409672234474	1.8435836405061912	0.35168773750919924	1.9177895753489247	0.43771391889783323	0.5629463495325459	2.7228157664639423	1.2198877828401877	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	9.0
23900000	0.011253445818241586	0.4395990897724592	0.28869702078203285	2.0363169129310155	0.8630026721014163	0.3400042630428579	0.48052327596878247	2.694329306488487	0.6263265111351816	1.743345067832938	5.0167731869683205	1.8348457314603897	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	9.0
24000000	1.347498394330196	0.14333456738683423	0.018013771315725107	1.8587492165004031	0.2583037129346868	0.5454618122399861	0.3003980417096975	1.9614165400773174	0.35371400106172124	1.0827408022190936	3.4269466975600995	1.146633551023307	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0
