state	joint	prior	likelihood	flyway.clock.rate	flyway.meanRate	flyway.rates.Atlantic.Central	flyway.rates.Atlantic.Mississippi	flyway.rates.Atlantic.Pacific	flyway.rates.Central.Mississippi	flyway.rates.Central.Pacific	flyway.rates.Mississippi.Pacific	flyway.rates.Central.Atlantic	flyway.rates.Mississippi.Atlantic	flyway.rates.Pacific.Atlantic	flyway.rates.Mississippi.Central	flyway.rates.Pacific.Central	flyway.rates.Pacific.Mississippi	flyway.indicators.Atlantic.Central	flyway.indicators.Atlantic.Mississippi	flyway.indicators.Atlantic.Pacific	flyway.indicators.Central.Mississippi	flyway.indicators.Central.Pacific	flyway.indicators.Mississippi.Pacific	flyway.indicators.Central.Atlantic	flyway.indicators.Mississippi.Atlantic	flyway.indicators.Pacific.Atlantic	flyway.indicators.Mississippi.Central	flyway.indicators.Pacific.Central	flyway.indicators.Pacific.Mississippi	flyway.nonZeroRates	flyway.branchRates	c_flyway.count[1]	c_allTransitions[1]
3100000	-769.8632709502552	-119.7863363718654	-650.0769345783898	0.6159950191569441	0.6159950191569439	1.75481843184339	0.23342525602400582	0.07848054791177528	1.4203771639312852	0.16405927011547725	0.2874867661051886	0.7743454700640187	1.1876646390067707	0.052677555355343235	0.7948965237135256	1.9379563655277048	0.8546200635647918	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	9.0	0.0	220.0	217.0
3200000	-782.958030323231	-137.58867052979366	-645.3693597934374	0.6410019211143969	0.6410019211143962	0.9723167496522529	0.1300049630809663	3.3028444052581825	3.339856085916918	0.33398364510380657	0.041081664220188725	1.3758870562763539	2.2875427958423624	0.9233231959709952	1.4970457535384474	5.213238153438557	1.1192198429223177	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	8.0	0.0	218.0	211.0
3300000	-770.278416294339	-120.73615766482803	-649.5422586295109	0.5910600167399519	0.5910600167399521	1.3333350328162035	0.41279300565366805	0.10095529267043893	1.9442443237867462	0.43887711871419066	0.2840919655528944	1.1648168033519517	1.544381396324907	0.3360518898188509	0.46675997703011135	3.3478509472909144	1.1351289027442744	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	9.0	0.0	214.0	213.0
3400000	-771.4670742588204	-119.94556772789609	-651.5215065309243	0.5860500562019544	0.5860500562019539	0.395196952834329	0.09895936615173713	1.777549783081198	1.2915858901278947	0.11226949737473897	0.925706706216942	0.1493077756194046	2.224968891582778	0.4868309321456863	0.9062842083196345	2.832984919505648	0.7462116188202219	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	8.0	0.0	221.0	222.0
3500000	-775.8495720248227	-135.9588064461941	-639.8907655786286	0.6676662512000283	0.6676662512000288	1.2852538047994966	0.2990836763377616	0.24607032295582923	2.6897060399525636	0.10417716496069351	4.616030176173139	0.6926985311332	1.9813023140890484	0.24213770197425336	0.9309278650176197	3.3800808100240944	1.1655917797340543	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	9.0	0.0	234.0	229.0
3600000	-767.6762334020738	-121.36110669695707	-646.3151267051167	0.6399386147812237	0.6399386147812254	0.06599335455672986	0.1681332193972705	0.004980959487145082	1.984073358501331	0.42614995897445523	1.5983131045286294	0.02885160764824152	1.5811260547231683	0.36480576036796475	0.567833312669209	2.9977171068009723	1.3550009974405455	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	0.0	223.0	222.0
3700000	-763.4108764294631	-120.21442137079072	-643.1964550586724	0.6197229042399299	0.619722904239931	0.6509295262129449	0.23041523403241781	1.4343483323811697	1.2901869245853166	0.34878448323808847	1.346466382256973	0.47786333870906256	1.0310639247431836	0.137120010870464	0.4647437663109956	2.092539483213517	0.9465416431941168	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	9.0	0.0	211.0	212.0
3800000	-779.0421763085944	-129.8896291213957	-649.1525471871987	0.6181254205254797	0.6181254205254796	0.03475693824196681	0.5162194282016743	0.00870531824930212	2.3272134733779524	0.2315650843193967	0.1372432674579701	0.5112959053135322	2.0511048965925465	0.4800443792381976	0.8566697805301099	4.261104043357694	1.3358043053742128	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	12.0	0.0	217.0	216.0
3900000	-770.9383459169627	-136.60394084329843	-634.3344050736642	0.6568403439545297	0.6568403439545321	3.945978054771894	0.1907088636290249	0.06350702084729413	3.8475388762851916	0.4023847548896797	0.4730688194805483	0.9766671891349009	1.6968592460384535	0.26491565205089096	0.8547352389619542	4.187383962451261	0.798566353229267	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	9.0	0.0	212.0	219.0
4000000	-778.5202845069124	-123.44916253786539	-655.071121969047	0.570735029264924	0.5707350292649256	3.067336754195766	0.29829494334284323	3.225662525561455	2.107445079746848	0.1330512667718221	0.0869843530894285	0.8581847865158838	1.6166115206126939	2.7732053443162044	1.0855384468233213	3.521181706886895	0.8480616792422108	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	8.0	0.0	225.0	222.0
4100000	-756.717201149338	-103.58594313262626	-653.1312580167117	0.5162990075896429	0.5162990075896448	0.11822517960443794	0.1068033154709854	0.1471403577674673	1.6516829775471646	1.3417530999939604	1.02177207938629	0.5770671581612307	0.9033562206419712	2.0007616026281347	0.1897709521509622	0.11105384952556013	1.0918431137100484	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	7.0	0.0	210.0	213.0
4200000	-769.1558342696702	-103.78845755973116	-665.3673767099391	0.5613230146637062	0.5613230146637075	1.5566809316153079	0.09593459232158022	1.2601490247398934	1.4704750094987922	1.5496026243973182	0.0014633573551435374	0.6680613578345196	0.7338727235493989	0.9937564507937812	0.45720650313289934	0.06941296058681883	0.07228431020326652	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	7.0	0.0	223.0	228.0
4300000	-761.2640929953118	-108.37516825553263	-652.8889247397791	0.5566649449128734	0.5566649449128721	2.7039989821667962	0.23313259513255669	1.0362446916656585	1.5828201069776409	1.9991247591052475	0.4050980639036105	0.4465839958680781	1.0594155355572656	0.4421903232522575	0.434970654388879	0.13698510005891062	0.24667991321578603	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	7.0	0.0	225.0	223.0
4400000	-752.1039184118829	-116.54264135988383	-635.561277051999	0.5917398886461919	0.5917398886461925	0.5174983710158473	0.14003066572504938	0.28038420538441206	1.1387646858307778	1.3161616570567884	1.5119572756590172	0.47655477291478227	0.5668750314222627	2.757259783840789	0.28797233441252745	0.13322228798892619	1.6127933358315738	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	7.0	0.0	222.0	221.0
