trait,country,admin1,admin2,collection_date
SRR36617816|A/red_tailed_hawk/CO/24-037418-001/2024|H5N1|USA-CO|Weld|2024-12-10|wild_avian|D1.1,USA,CO,Weld,2024-12-10
SRR33508736|A/Red-tailed_Hawk/CO/25-010882-001-original/2025|H5N1|USA-CO|Unknown|2025-03-26|wild_avian|D1.1,USA,CO,Unknown,2025-03-26
SRR33993061|A/Red_Fox/CO/25-017245-001-original/2025|H5N1|USA-CO|Unknown|2025-05-29|other_mammal|D1.1,USA,CO,Unknown,2025-05-29
SRR34710266|A/Red-tailed_Hawk/CO/25-019366-002-original/2025|H5N1|USA-CO|Unknown|2025-04-10|wild_avian|D1.1,USA,CO,Unknown,2025-04-10
SRR36212521|A/Mallard_Duck/CO/25-025267-001-original/2025|H5N1|USA-CO|Unknown|2025-09-09|wild_avian|D1.1,USA,CO,Unknown,2025-09-09
SRR32512614|A/american_black_duck/CT/25-004298-002/2025|H5N1|USA-CT|New_Haven|2025-01-29|wild_avian|D1.1,USA,CT,New_Haven,2025-01-29
SRR32512673|A/american_black_duck/CT/25-003143-002/2025|H5N1|USA-CT|New_Haven|2025-01-23|wild_avian|D1.1,USA,CT,New_Haven,2025-01-23
SRR33029808|A/Mallard/CT/25-010197-001-original/2025|H5N1|USA-CT|Unknown|2025-03-18|wild_avian|D1.1,USA,CT,Unknown,2025-03-18
SRR33125072|A/Great_Horned_Owl/CT/25-005886-001-original/2025|H5N1|USA-CT|Unknown|2025-02-04|wild_avian|D1.1,USA,CT,Unknown,2025-02-04
SRR33764586|A/Great_Horned_Owl/CT/25-013382-001-original-repeat2/2025|H5N1|USA-CT|Unknown|2025-04-23|wild_avian|D1.1,USA,CT,Unknown,2025-04-23
SRR36203383|A/Black_Vulture/CT/25G03770-001-original/2025|H5N1|USA-CT|Unknown|2025-11-10|wild_avian|D1.1,USA,CT,Unknown,2025-11-10
SRR32006864|A/chicken/DE/25-000201-001-original/2025|H5N1|USA-DE|Unknown|2025-01-02|domestic_avian|D1.1,USA,DE,Unknown,2025-01-02
SRR32512885|A/chicken/DE/25-005230-002-original/2025|H5N1|USA-DE|Unknown|2025-02-10|domestic_avian|D1.1,USA,DE,Unknown,2025-02-10
SRR32654186|A/chicken/DE/25-002825-001-original/2025|H5N1|USA-DE|Unknown|2025-01-25|domestic_avian|D1.1,USA,DE,Unknown,2025-01-25
SRR36202234|A/chicken/DE/25G03562-002-original/2025|H5N1|USA-DE|Unknown|2025-11-06|domestic_avian|D1.1,USA,DE,Unknown,2025-11-06
