trait	country	admin1	admin2	collection_date	latitude	longitude
EPI_ISL_19792243|A/Mallard/SK/FAV-0391-21/2024|H5N1|Canada-SK|Unknown|2024-11-17|wild_avian|D1.1	Canada	SK	Unknown	2024-11-17	56.8010450406955	-108.420225412736
EPI_ISL_20208420|A/Chicken/SK/FAV-0272-1/2024|H5N1|Canada-SK|Unknown|2024-10-25|domestic_avian|D1.1	Canada	SK	Unknown	2024-10-25	57.2541647009176	-103.036731029323
EPI_ISL_20208421|A/Chicken/SK/FAV-0326-1/2025|H5N1|Canada-SK|Unknown|2025-10-01|domestic_avian|D1.1	Canada	SK	Unknown	2025-10-01	50.9552872808591	-102.315081394181
EPI_ISL_20208438|A/Rosss_Goose/SK/FAV-0170-4/2025|H5N1|Canada-SK|Unknown|2025-04-22|wild_avian|D1.1	Canada	SK	Unknown	2025-04-22	58.7238198735078	-107.867254668634
EPI_ISL_20208439|A/Rosss_Goose/SK/FAV-0170-51/2025|H5N1|Canada-SK|Unknown|2025-04-23|wild_avian|D1.1	Canada	SK	Unknown	2025-04-23	56.9837384533392	-106.961455979636
EPI_ISL_20208448|A/Snow_Goose/SK/FAV-0407-6/2024|H5N1|Canada-SK|Unknown|2024-10-30|wild_avian|D1.1	Canada	SK	Unknown	2024-10-30	53.827914304761	-106.562476822412
EPI_ISL_20249109|A/Whooping_crane/SK/FAV-0436-1/2025|H5N1|Canada-SK|Unknown|2025-10-09|wild_avian|D1.1	Canada	SK	Unknown	2025-10-09	57.1422498733766	-104.361518478044
EPI_ISL_20180701|A/duck/Izabal/FLU-340/2025|H5N1|Guatemala-Izabal|Unknown|2025-08-25|domestic_avian|D1.1	Guatemala	Izabal	Unknown	2025-08-25	15.5079698224501	-89.2741313894874
EPI_ISL_20254739|A/chicken/San_Marcos/FLU-383/2025|H5N1|Guatemala-San_Marcos|Unknown|2025-11-12|domestic_avian|D1.1	Guatemala	San_Marcos	Unknown	2025-11-12	14.9836406331043	-92.0940233907814
EPI_ISL_20227034|A/Mexico/Dur_Indre_2292/2025|H5N1|Mexico-Durango|Unknown|2025-03-18|human|D1.1	Mexico	Durango	Unknown	2025-03-18	22.4959064981322	-104.371115894152
GenBank|A/goose/Durango/CPA-00444-25/2025|H5N1|Mexico-Durango|Unknown|2025-02-08|domestic_avian|D1.1	Mexico	Durango	Unknown	2025-02-08	25.4293319203707	-103.77918887938
GenBank|A/Ostrich/Sonora/CPA-00009-25/2025|H5N1|Mexico-Sonora|Unknown|2025-01-04|domestic_avian|D1.1	Mexico	Sonora	Unknown	2025-01-04	30.1578606728308	-111.082621043423
SRR34491422|A/bald_eagle/AK/24-032749-001/2024|H5N1|USA-AK|Haines|2024-10-25|wild_avian|D1.1	USA	AK	Haines	2024-10-25	58.9968838465264	-135.430388035982
SRR34491577|A/green_winged_teal/AK/24-029315-007/2024|H5N1|USA-AK|Juneau|2024-09-26|wild_avian|D1.1	USA	AK	Juneau	2024-09-26	58.1119193882251	-133.428710015305
SRR34542596|A/bald_eagle/AK/25-017393-001/2025|H5N1|USA-AK|Yukon-Koyukuk|2025-05-31|wild_avian|D1.1	USA	AK	Yukon-Koyukuk	2025-05-31	62.8891641486889	-160.713198204619
SRR36617615|A/northern_pintail/AK/24-037862-007/2024|H5N1|USA-AK|Aleutians_East|2024-10-15|wild_avian|D1.1	USA	AK	Aleutians_East	2024-10-15	55.3780376926488	-162.063252015771
SRR36617632|A/mallard_duck/AK/24-037772-039/2024|H5N1|USA-AK|Matanuska-Susitna|2024-12-05|wild_avian|D1.1	USA	AK	Matanuska-Susitna	2024-12-05	62.4215441406259	-152.482566907664
SRR36627907|A/mallard_duck/AK/24-037772-023/2024|H5N1|USA-AK|Matanuska-Susitna|2024-12-05|wild_avian|D1.1	USA	AK	Matanuska-Susitna	2024-12-05	63.056308250629	-147.254184471084
SRR31596883|A/chicken/AK/24-034057-002-original/2024|H5N1|USA-AK|Unknown|2024-11-12|domestic_avian|D1.1	USA	AK	Unknown	2024-11-12	65.1521275342822	-155.576100536794
SRR31914376|A/chicken/AK/24-035126-001-original/2024|H5N1|USA-AK|Unknown|2024-11-21|domestic_avian|D1.1	USA	AK	Unknown	2024-11-21	69.5676720413231	-151.807303559832
SRR32254417|A/bald_eagle/AL/25-001791-001/2025|H5N1|USA-AL|Baldwin|2025-01-09|wild_avian|D1.1	USA	AL	Baldwin	2025-01-09	30.3934827015932	-87.5429620563017
SRR32254443|A/snow_goose/AL/25-001388-002/2025|H5N1|USA-AL|Limestone|2025-01-02|wild_avian|D1.1	USA	AL	Limestone	2025-01-02	34.9841882057696	-86.9202337819173
SRR36582196|A/Wood_duck/AL/25G05286-007/2025|H5N1|USA-AL|Barbour|2025-11-29|wild_avian|D1.1	USA	AL	Barbour	2025-11-29	32.0031147113738	-85.3254576760439
SRR31885765|A/Guineafowl/AL/24-037980-001-original/2024|H5N1|USA-AL|Unknown|2024-12-13|domestic_avian|D1.1	USA	AL	Unknown	2024-12-13	31.0950095656003	-85.9894097214124
SRR33029853|A/Black_Vulture/AL/25-010338-002-original/2025|H5N1|USA-AL|Unknown|2025-03-19|wild_avian|D1.1	USA	AL	Unknown	2025-03-19	31.1465807669948	-87.8739226659351
SRR33125038|A/Canada_Goose/AL/25-006220-001-original/2025|H5N1|USA-AL|Unknown|2025-02-12|wild_avian|D1.1	USA	AL	Unknown	2025-02-12	34.072192920376	-86.8896871660951
SRR36203333|A/Canada_Goose/AL/25G03828-001-original/2025|H5N1|USA-AL|Unknown|2025-10-27|wild_avian|D1.1	USA	AL	Unknown	2025-10-27	31.9844359068422	-85.3361742045444
SRR36212524|A/Domestic_Goose/AL/25G03044-002-original/2025|H5N1|USA-AL|Unknown|2025-10-27|domestic_avian|D1.1	USA	AL	Unknown	2025-10-27	32.5544966712119	-88.018035497642
SRR34491394|A/snow_goose/AR/24-035819-001/2024|H5N1|USA-AR|Prairie|2024-12-01|wild_avian|D1.1	USA	AR	Prairie	2024-12-01	34.96691782025	-91.659365030326
SRR34491402|A/mallard/AR/24-036997-003/2024|H5N1|USA-AR|Prairie|2024-11-27|wild_avian|D1.1	USA	AR	Prairie	2024-11-27	35.014756310746	-91.7695258019664
SRR36538271|A/black_vulture/AR/25G04946-001/2025|H5N1|USA-AR|Washington|2025-11-20|wild_avian|D1.1	USA	AR	Washington	2025-11-20	35.8006697110341	-94.3805538130423
SRR36617233|A/mallard_duck/AR/24-037952-006/2024|H5N1|USA-AR|Prairie|2024-12-11|wild_avian|D1.1	USA	AR	Prairie	2024-12-11	34.7548261429281	-91.5629462982051
SRR32416354|A/American_Woodcock/AR/25-003125-001-original/2025|H5N1|USA-AR|Unknown|2025-01-13|wild_avian|D1.1	USA	AR	Unknown	2025-01-13	35.3767912163581	-90.3274955396065
SRR36211667|A/Black_Vulture/AR/25G03056-001-original/2025|H5N1|USA-AR|Unknown|2025-10-21|wild_avian|D1.1	USA	AR	Unknown	2025-10-21	33.6860311070569	-94.0986524012537
SRR36212242|A/Canada_Goose/AR/25G01638-001-original/2025|H5N1|USA-AR|Unknown|2025-10-04|wild_avian|D1.1	USA	AR	Unknown	2025-10-04	34.7298342681437	-91.7994373513107
SRR32512601|A/american_wigeon/AZ/25-004049-003/2025|H5N1|USA-AZ|Mohave|2025-01-08|wild_avian|D1.1	USA	AZ	Mohave	2025-01-08	36.3087621820901	-113.273720258986
SRR33508711|A/barn_owl/AZ/25-000514-002/2025|H5N1|USA-AZ|Maricopa|2025-01-08|wild_avian|D1.1	USA	AZ	Maricopa	2025-01-08	33.0127112752093	-112.418786970226
SRR36617418|A/harris_hawk/AZ/24-038176-001/2024|H5N1|USA-AZ|Maricopa|2024-12-04|wild_avian|D1.1	USA	AZ	Maricopa	2024-12-04	33.6234373672462	-113.113899088694
SRR36617849|A/house_sparrow/AZ/24-036612-005/2024|H5N1|USA-AZ|Pinal|2024-11-22|wild_avian|D1.1	USA	AZ	Pinal	2024-11-22	33.3325425678382	-111.030499487836
SRR36617855|A/black_necked_stilt/AZ/24-036610-002/2024|H5N1|USA-AZ|Pinal|2024-11-25|wild_avian|D1.1	USA	AZ	Pinal	2024-11-25	32.535241806635	-111.818371956872
SRR36628748|A/mallard_duck/AZ/25-000743-025/2024|H5N1|USA-AZ|La_Paz|2024-12-19|wild_avian|D1.1	USA	AZ	La_Paz	2024-12-19	33.8442439318955	-114.460914409758
SRR32415932|A/cattle/AZ/25-004003-002-original/2025|H5N1|USA-AZ|Unknown|2025-02-03|cattle|D1.1	USA	AZ	Unknown	2025-02-03	36.7485855745067	-111.782512734492
SRR32415933|A/cattle/AZ/25-004003-001-original/2025|H5N1|USA-AZ|Unknown|2025-02-03|cattle|D1.1	USA	AZ	Unknown	2025-02-03	34.92917967034	-113.152992045309
SRR33319085|A/cattle/AZ/25-010942-001-original/2025|H5N1|USA-AZ|Unknown|2025-03-25|cattle|D1.1	USA	AZ	Unknown	2025-03-25	32.5037719591133	-110.480627529653
SRR33764593|A/cattle/AZ/25-013772-001-original-repeat2/2025|H5N1|USA-AZ|Unknown|2025-04-23|cattle|D1.1	USA	AZ	Unknown	2025-04-23	33.0449618166575	-109.42450850644
SRR33830342|A/chicken/AZ/25-016339-007-original/2025|H5N1|USA-AZ|Unknown|2025-05-22|domestic_avian|D1.1	USA	AZ	Unknown	2025-05-22	35.7993085789508	-110.356111367303
SRR34270136|A/chicken/AZ/25-017630-002-original/2025|H5N1|USA-AZ|Unknown|2025-06-05|domestic_avian|D1.1	USA	AZ	Unknown	2025-06-05	32.0915921175143	-111.271926541115
SRR35150577|A/cattle/AZ/25-021143-001-original-repeat2/2025|H5N1|USA-AZ|Unknown|2025-07-22|cattle|D1.1	USA	AZ	Unknown	2025-07-22	33.0684693730239	-114.618520562298
SRR36212241|A/Canada_Goose/AZ/25G01642-001-original/2025|H5N1|USA-AZ|Unknown|2025-09-30|wild_avian|D1.1	USA	AZ	Unknown	2025-09-30	34.8344842478122	-111.824603063117
SRR33029846|A/barn_owl/CA/25-010283-002/2025|H5N1|USA-CA|San_Mateo|2025-03-06|wild_avian|D1.1	USA	CA	San_Mateo	2025-03-06	37.5396819481745	-122.47100768312
SRR33125090|A/western_gull/CA/25-004499-005/2025|H5N1|USA-CA|San_Mateo|2025-01-24|wild_avian|D1.1	USA	CA	San_Mateo	2025-01-24	37.2669489989623	-122.352957712974
SRR33476783|A/Sanderling/CA/25-012990-001/2025|H5N1|USA-CA|Alameda|2025-02-27|wild_avian|D1.1	USA	CA	Alameda	2025-02-27	37.602177975897	-121.951409011426
SRR33476791|A/Peregrine_falcon/CA/25-012990-002/2025|H5N1|USA-CA|Solano|2025-02-27|wild_avian|D1.1	USA	CA	Solano	2025-02-27	38.3476075551337	-121.752759881803
SRR33508816|A/canada_goose/CA/25-003254-006/2025|H5N1|USA-CA|San_Luis_Obispo|2025-01-30|wild_avian|D1.1	USA	CA	San_Luis_Obispo	2025-01-30	35.2197902979642	-120.198966968241
SRR33682329|A/great_blue_heron/CA/25-014655-001/2025|H5N1|USA-CA|Alameda|2025-03-12|wild_avian|D1.1	USA	CA	Alameda	2025-03-12	37.8168395023939	-122.233978114812
SRR34491403|A/western_gull/CA/24-036324-002/2024|H5N1|USA-CA|Santa_Barbara|2024-11-27|wild_avian|D1.1	USA	CA	Santa_Barbara	2024-11-27	34.8096021962032	-119.758375252669
SRR34491407|A/american_white_pelican/CA/24-031867-001/2024|H5N1|USA-CA|San_Diego|2024-10-19|wild_avian|D1.1	USA	CA	San_Diego	2024-10-19	32.7752470564761	-116.473664209265
SRR34491569|A/gadwall/CA/24-035297-036/2024|H5N1|USA-CA|Fresno|2024-11-16|wild_avian|D1.1	USA	CA	Fresno	2024-11-16	37.3497576398206	-119.158033287938
SRR36406399|A/american_green_winged_teal/CA/25G03928-006/2025|H5N1|USA-CA|Yolo|2025-10-29|wild_avian|D1.1	USA	CA	Yolo	2025-10-29	38.5169284844508	-121.985071111519
SRR36406410|A/american_wigeon/CA/25G03928-001/2025|H5N1|USA-CA|Yolo|2025-10-29|wild_avian|D1.1	USA	CA	Yolo	2025-10-29	38.6779930416849	-121.885494294671
SRR36538343|A/western_gull/CA/25G04840-001/2025|H5N1|USA-CA|Contra_Costa|2025-11-20|wild_avian|D1.1	USA	CA	Contra_Costa	2025-11-20	38.0470096166816	-122.253066679545
SRR36538375|A/red_tailed_hawk/CA/25G04838-002/2025|H5N1|USA-CA|Sacramento|2025-11-20|wild_avian|D1.1	USA	CA	Sacramento	2025-11-20	38.5778421270998	-121.45948190773
SRR36617365|A/mallard_duck/CA/24-032544-016/2024|H5N1|USA-CA|Yolo|2024-10-26|wild_avian|D1.1	USA	CA	Yolo	2024-10-26	38.8544306345679	-122.385330296641
SRR36617838|A/western_gull/CA/24-036784-001/2024|H5N1|USA-CA|Los_Angeles|2024-12-05|wild_avian|D1.1	USA	CA	Los_Angeles	2024-12-05	34.066829041281	-118.17043858289
SRR36617878|A/western_gull/CA/25-004506-003/2024|H5N1|USA-CA|Monterey|2024-12-23|wild_avian|D1.1	USA	CA	Monterey	2024-12-23	36.4403542185632	-121.675612744054
SRR33682331|A/Cougar/CA/25-014656-002-original/2025|H5N1|USA-CA|Unknown|2025-04-13|feline|D1.1	USA	CA	Unknown	2025-04-13	34.4157909971296	-118.517033155156
SRR32254489|A/cackling_goose/CO/25-000848-001/2025|H5N1|USA-CO|Weld|2025-01-07|wild_avian|D1.1	USA	CO	Weld	2025-01-07	40.9610406494882	-104.627033540971
SRR32512607|A/canada_goose/CO/25-003832-001/2025|H5N1|USA-CO|Chaffee|2025-01-27|wild_avian|D1.1	USA	CO	Chaffee	2025-01-27	38.6200389309049	-106.046077321086
SRR32512655|A/canada_goose/CO/25-004662-001/2025|H5N1|USA-CO|Larimer|2025-02-03|wild_avian|D1.1	USA	CO	Larimer	2025-02-03	40.2931008163141	-105.28755260393
SRR32513282|A/red_tailed_hawk/CO/25-004838-001/2025|H5N1|USA-CO|Weld|2025-02-05|wild_avian|D1.1	USA	CO	Weld	2025-02-05	40.1173609113859	-104.487001765489
SRR36211975|A/mallard_duck/CO/25G02242-003/2025|H5N1|USA-CO|Jackson|2025-10-04|wild_avian|D1.1	USA	CO	Jackson	2025-10-04	40.7983246973238	-106.302133685016
SRR36212302|A/canada_goose/CO/25G02439-001/2025|H5N1|USA-CO|Weld|2025-10-14|wild_avian|D1.1	USA	CO	Weld	2025-10-14	40.6542894036053	-104.577531315551
SRR36406276|A/snow_goose/CO/25G04393-001/2025|H5N1|USA-CO|Sedgwick|2025-11-12|wild_avian|D1.1	USA	CO	Sedgwick	2025-11-12	40.8481843428282	-102.134835349238
SRR36538318|A/canada_goose/CO/25G04853-001/2025|H5N1|USA-CO|Larimer|2025-11-18|wild_avian|D1.1	USA	CO	Larimer	2025-11-18	40.9342390022713	-105.495378461962
SRR36617491|A/Peregrine_falcon/CO/25-019366-001/2024|H5N1|USA-CO|Denver|2024-11-24|wild_avian|D1.1	USA	CO	Denver	2024-11-24	39.7584481494325	-104.901067218254
SRR36617493|A/golden_eagle/CO/25-010611-001/2024|H5N1|USA-CO|Morgan|2024-11-15|wild_avian|D1.1	USA	CO	Morgan	2024-11-15	40.5159864427537	-103.887637332272
SRR36617718|A/snow_goose/CO/25-000365-002/2024|H5N1|USA-CO|Pueblo|2024-12-28|wild_avian|D1.1	USA	CO	Pueblo	2024-12-28	38.1321966267617	-104.286019314293
SRR36617816|A/red_tailed_hawk/CO/24-037418-001/2024|H5N1|USA-CO|Weld|2024-12-10|wild_avian|D1.1	USA	CO	Weld	2024-12-10	40.9927713797979	-104.64129321646
SRR33508736|A/Red-tailed_Hawk/CO/25-010882-001-original/2025|H5N1|USA-CO|Unknown|2025-03-26|wild_avian|D1.1	USA	CO	Unknown	2025-03-26	38.1256905189206	-106.989352821617
SRR33993061|A/Red_Fox/CO/25-017245-001-original/2025|H5N1|USA-CO|Unknown|2025-05-29|other_mammal|D1.1	USA	CO	Unknown	2025-05-29	39.6090594920509	-108.530969876756
SRR34710266|A/Red-tailed_Hawk/CO/25-019366-002-original/2025|H5N1|USA-CO|Unknown|2025-04-10|wild_avian|D1.1	USA	CO	Unknown	2025-04-10	38.3199580943821	-108.604260040913
SRR36212521|A/Mallard_Duck/CO/25-025267-001-original/2025|H5N1|USA-CO|Unknown|2025-09-09|wild_avian|D1.1	USA	CO	Unknown	2025-09-09	40.2979755915003	-105.704031987457
SRR32512614|A/american_black_duck/CT/25-004298-002/2025|H5N1|USA-CT|New_Haven|2025-01-29|wild_avian|D1.1	USA	CT	New_Haven	2025-01-29	41.5061800731236	-72.7677050763503
SRR32512673|A/american_black_duck/CT/25-003143-002/2025|H5N1|USA-CT|New_Haven|2025-01-23|wild_avian|D1.1	USA	CT	New_Haven	2025-01-23	41.3785616707102	-73.0683226187512
SRR33029808|A/Mallard/CT/25-010197-001-original/2025|H5N1|USA-CT|Unknown|2025-03-18|wild_avian|D1.1	USA	CT	Unknown	2025-03-18	41.5470717031104	-72.1771724045404
SRR33125072|A/Great_Horned_Owl/CT/25-005886-001-original/2025|H5N1|USA-CT|Unknown|2025-02-04|wild_avian|D1.1	USA	CT	Unknown	2025-02-04	41.5931541285711	-73.2842260347004
