trait	country	admin1	admin2	collection_date	latitude	longitude
EPI_ISL_19736761|A/bald_eagle/Massachusetts/014126-005/2024|H5N1|USA-MA|2024-02-23|avian|C2.1	USA	MA	Worcester	2024-02-23	42.353706290105	-72.0895544872053
EPI_ISL_19736760|A/white-winged_scoter/Massachusetts/014126-006/2024|H5N1|USA-MA|2024-02-23|avian|C2.1	USA	MA	Worcester	2024-02-23	42.4421513091208	-72.2443452528507
EPI_ISL_19736801|A/great_black-backed_gull/Massachusetts/014126-008/2024|H5N1|USA-MA|2024-02-28|avian|C2.1	USA	MA	Barnstable	2024-02-28	41.6229025286405	-70.5613535490832
EPI_ISL_19736800|A/herring_gull/Massachusetts/014126-009/2024|H5N1|USA-MA|2024-03-01|avian|C2.1	USA	MA	Barnstable	2024-03-01	41.6180388045138	-70.4805714425629
EPI_ISL_19736912|A/white-winged_scoter/Massachusetts/014126-014/2024|H5N1|USA-MA|2024-03-11|avian|C2.1	USA	MA	Essex	2024-03-11	42.759016335925	-70.9318150025166
EPI_ISL_19736911|A/common_loon/Massachusetts/014126-015/2024|H5N1|USA-MA|2024-03-11|avian|C2.1	USA	MA	Essex	2024-03-11	42.7205968492801	-71.1255093554836
EPI_ISL_19736909|A/great_horned_owl/Massachusetts/014126-017/2024|H5N1|USA-MA|2024-03-17|avian|C2.1	USA	MA	Middlesex	2024-03-17	42.2088031115809	-71.3625275040626
EPI_ISL_19736900|A/great_black-backed_gull/Massachusetts/014126-026/2024|H5N1|USA-MA|2024-03-25|avian|C2.1	USA	MA	Norfolk	2024-03-25	42.2595784795583	-71.2252124361578
EPI_ISL_19736894|A/canada_goose/Massachusetts/014126-033/2024|H5N1|USA-MA|2024-02-12|avian|C2.1	USA	MA	Essex	2024-02-12	42.7835257586843	-70.8159221643662
EPI_ISL_19736891|A/common_raven/Massachusetts/014126-036/2024|H5N1|USA-MA|2024-03-26|avian|C2.1	USA	MA	Plymouth	2024-03-26	41.9854618453669	-70.8185687132172
EPI_ISL_19736889|A/american_crow/Massachusetts/014126-039/2024|H5N1|USA-MA|2024-04-19|avian|C2.1	USA	MA	Barnstable	2024-04-19	41.6757762450843	-70.0698959589034
EPI_ISL_19736888|A/red-tailed_hawk/Massachusetts/014126-040/2024|H5N1|USA-MA|2024-03-15|avian|C2.1	USA	MA	Suffolk	2024-03-15	42.2735185455174	-71.1647239745043
EPI_ISL_19736795|A/white-winged_scoter/Massachusetts/014126-041/2024|H5N1|USA-MA|2024-03-15|avian|C2.1	USA	MA	Plymouth	2024-03-15	41.9979766399001	-70.8988448808234
EPI_ISL_19736794|A/great_black-backed_gull/Massachusetts/014126-043/2024|H5N1|USA-MA|2024-03-18|avian|C2.1	USA	MA	Nantucket	2024-03-18	41.2710206431147	-69.9876649684897
EPI_ISL_19736792|A/bald_eagle/Massachusetts/014126-048/2024|H5N1|USA-MA|2024-03-27|avian|C2.1	USA	MA	Middlesex	2024-03-27	42.4742368652078	-71.1181810805015
EPI_ISL_19736887|A/bald_eagle/Massachusetts/014126-049/2024|H5N1|USA-MA|2024-03-27|avian|C2.1	USA	MA	Bristol	2024-03-27	41.625390693683	-71.1132996023148
EPI_ISL_19736881|A/sanderling/Massachusetts/014126-056/2024|H5N1|USA-MA|2024-04-05|avian|C2.1	USA	MA	Barnstable	2024-04-05	41.7390814706874	-70.1720073329446
EPI_ISL_19736880|A/sanderling/Massachusetts/014126-057/2024|H5N1|USA-MA|2024-04-05|avian|C2.1	USA	MA	Unknown	2024-04-05	42.6057308107441	-71.7981847629848
EPI_ISL_19736875|A/american_crow/Massachusetts/014126-063/2024|H5N1|USA-MA|2024-03-31|avian|C2.1	USA	MA	Barnstable	2024-03-31	41.650344239501	-70.1820517209535
EPI_ISL_19736873|A/american_crow/Massachusetts/014126-066/2024|H5N1|USA-MA|2024-04-28|avian|C2.1	USA	MA	Barnstable	2024-04-28	41.7214621512361	-70.0835254666481
EPI_ISL_19736869|A/scoter/Massachusetts/014126-071/2024|H5N1|USA-MA|2024-04-12|avian|C2.1	USA	MA	Essex	2024-04-12	42.6554576876795	-71.0949620207005
EPI_ISL_19736787|A/scoter/Massachusetts/014126-072/2024|H5N1|USA-MA|2024-04-12|avian|C2.1	USA	MA	Essex	2024-04-12	42.7238397105541	-70.8713398538192
EPI_ISL_19736867|A/american_crow/Massachusetts/014126-073/2024|H5N1|USA-MA|2024-04-11|avian|C2.1	USA	MA	Barnstable	2024-04-11	41.6481574500809	-70.3589495920589
EPI_ISL_19736866|A/american_crow/Maine/014127-001/2024|H5N1|USA-ME|2024-01-30|avian|C2.1	USA	ME	York	2024-01-30	43.4345126358684	-70.4421083667096
EPI_ISL_19736785|A/canada_goose/New_Hampshire/014129-001/2023|H5N1|USA-NH|2023-12-12|avian|C2.1	USA	NH	Strafford	2023-12-12	43.3355066310795	-71.1767477786948
EPI_ISL_19736863|A/surf_scoter/Rhode_Island/014130-001/2024|H5N1|USA-RI|2024-03-08|avian|C2.1	USA	RI	Providence	2024-03-08	41.7363339382947	-71.6825153502819
EPI_ISL_19736859|A/herring_gull/Rhode_Island/014130-006/2024|H5N1|USA-RI|2024-04-23|avian|C2.1	USA	RI	Bristol	2024-04-23	41.7490381894616	-71.3384055186878
EPI_ISL_19490391|A/green-winged_teal/New_York/23-033302-033-original/2023|H5N1|USA-NY|2023-10-21|avian|C2.1	USA	NY	Genesee	2023-10-21	42.9109515729753	-78.4009960773658
EPI_ISL_19341011|A/pintail/Florida/23-038109-023-original/2023|H5N1|USA-FL|2023-11-25|avian|C2.1	USA	FL	Brevard	2023-11-25	28.6780823039912	-80.8720098422687
EPI_ISL_19341014|A/lesser_scaup/Florida/23-038112-015-original/2023|H5N1|USA-FL|2023-11-18|avian|C2.1	USA	FL	Brevard	2023-11-18	27.9313484384226	-80.7452966850712
EPI_ISL_19372782|A/blue-winged_teal/Florida/23-038112-097-original/2023|H5N1|USA-FL|2023-11-18|avian|C2.1	USA	FL	Brevard	2023-11-18	28.3755214189834	-80.8372998803873
EPI_ISL_19560372|A/American_black_duck/New_York/23-038880-007-original/2023|H5N1|USA-NY|2023-12-02|avian|C2.1	USA	NY	Unknown	2023-12-02	42.8491347232674	-76.8255298439725
EPI_ISL_19560373|A/mallard/New_York/23-038880-010-original/2023|H5N1|USA-NY|2023-12-02|avian|C2.1	USA	NY	Unknown	2023-12-02	43.8794304267914	-73.3812646196263
EPI_ISL_19224083|A/partridge/New_York/23-039086-005-original/2023|H5N1|USA-NY|2023-12-11|avian|C2.1	USA	NY	Dutchess	2023-12-11	41.9445759593472	-73.5799043043324
EPI_ISL_19560382|A/ring-necked_duck/Florida/23-039641-001-original/2023|H5N1|USA-FL|2023-12-09|avian|C2.1	USA	FL	Unknown	2023-12-09	26.1172080147467	-80.3693382527894
EPI_ISL_19560383|A/lesser_scaup/Florida/23-039641-009-original/2023|H5N1|USA-FL|2023-12-09|avian|C2.1	USA	FL	Unknown	2023-12-09	26.8782417322253	-81.1022890880262
EPI_ISL_19559073|A/ring-necked_duck/Florida/23-039641-014-original/2023|H5N1|USA-FL|2023-12-09|avian|C2.1	USA	FL	Unknown	2023-12-09	27.5681076553036	-81.6330741655332
EPI_ISL_19560353|A/ring-necked_duck/Florida/23-040586-018-original-kf/2023|H5N1|USA-FL|2023-12-09|avian|C2.1	USA	FL	Unknown	2023-12-09	29.2316857423612	-81.520196155975
EPI_ISL_19288895|A/pheasant/Pennsylvania/23-040876-001-original/2023|H5N1|USA-PA|2023-12-21|avian|C2.1	USA	PA	Northumberland	2023-12-21	40.810809331474	-76.6041254365884
EPI_ISL_19559096|A/American_black_duck/North_Carolina/23-041152-003-original2/2023|H5N1|USA-NC|2023-12-19|avian|C2.1	USA	NC	Unknown	2023-12-19	36.0787986790328	-76.6172907361976
EPI_ISL_19660916|A/American_wigeon/North_Carolina/24-000834-003-original/2023|H5N1|USA-NC|2023-12-28|avian|C2.1	USA	NC	Unknown	2023-12-28	34.9861915343814	-77.6187736003376
EPI_ISL_19372796|A/chicken/Massachusetts/24-001134-001-original/2024|H5N1|USA-MA|2024-01-10|avian|C2.1	USA	MA	Barnstable	2024-01-10	41.6783138787985	-70.2801433804482
EPI_ISL_19372800|A/chicken/South_Carolina/24-001707-001-original/2024|H5N1|USA-SC|2024-01-09|avian|C2.1	USA	SC	Orangeburg	2024-01-09	33.6819223972513	-81.02761949885
EPI_ISL_19660921|A/mallard/Maine/24-002154-009-original/2024|H5N1|USA-ME|2024-01-09|avian|C2.1	USA	ME	Unknown	2024-01-09	46.4515661972581	-69.0620032812138
EPI_ISL_19490414|A/American_wigeon/North_Carolina/24-002161-002-original/2024|H5N1|USA-NC|2024-01-13|avian|C2.1	USA	NC	Hyde	2024-01-13	35.4956011259176	-76.0963840087114
EPI_ISL_19490415|A/mallard/New_Hampshire/24-002162-001-original/2024|H5N1|USA-NH|2024-01-17|avian|C2.1	USA	NH	Merrimack	2024-01-17	43.2639398710546	-72.0608772367949
EPI_ISL_19372807|A/chicken/Maine/24-002533-001-original/2024|H5N1|USA-ME|2024-01-23|avian|C2.1	USA	ME	Kennebec	2024-01-23	44.2427661813882	-69.669550674907
EPI_ISL_19372816|A/chicken/Pennsylvania/24-003804-003-original/2024|H5N1|USA-PA|2024-02-03|avian|C2.1	USA	PA	Wayne	2024-02-03	41.7351210976337	-75.2706936571993
EPI_ISL_19372817|A/chicken/Massachusetts/24-003817-001-original/2024|H5N1|USA-MA|2024-02-02|avian|C2.1	USA	MA	Essex	2024-02-02	42.644966674036	-71.1324810091113
EPI_ISL_19387825|A/wood_duck/Mississippi/24-004128-003-original/2024|H5N1|USA-MS|2024-01-29|avian|C2.1	USA	MS	Leflore	2024-01-29	33.2928463396474	-90.4492238749188
EPI_ISL_19387829|A/wood_duck/Mississippi/24-004128-011-original/2024|H5N1|USA-MS|2024-01-29|avian|C2.1	USA	MS	Leflore	2024-01-29	33.3626643130682	-90.2408171109315
EPI_ISL_19372821|A/turkey/North_Carolina/24-004217-001-original/2024|H5N1|USA-NC|2024-02-08|avian|C2.1	USA	NC	Lenoir	2024-02-08	35.125548932358	-77.7082051311201
EPI_ISL_19387831|A/wood_duck/Mississippi/24-004235-003-original/2024|H5N1|USA-MS|2024-02-05|avian|C2.1	USA	MS	Grenada	2024-02-05	33.7900281734169	-89.5482633895462
EPI_ISL_19387832|A/mallard/Massachusetts/24-004240-009-original/2024|H5N1|USA-MA|2024-02-04|avian|C2.1	USA	MA	Unknown	2024-02-04	42.5888493791792	-70.8991895313608
EPI_ISL_19387833|A/green-winged_teal/North_Carolina/24-004327-001-original/2024|H5N1|USA-NC|2024-01-30|avian|C2.1	USA	NC	Pamlico	2024-01-30	35.1659286273872	-76.7014899238984
EPI_ISL_19387834|A/mallard/Maine/24-004329-015-original/2024|H5N1|USA-ME|2024-01-30|avian|C2.1	USA	ME	Androscoggin	2024-01-30	44.413607031194	-70.1354047326737
EPI_ISL_19094436|A/mallard/Maine/24-004330-001/2024|H5N1|USA-ME|2024-01-31|avian|C2.1	USA	ME	Unknown	2024-01-31	44.5426803070263	-68.4036673063875
EPI_ISL_19429982|A/mallard/Maine/24-004332-010-original/2024|H5N1|USA-ME|2024-02-02|avian|C2.1	USA	ME	Androscoggin	2024-02-02	44.2657948278086	-70.1401226204062
EPI_ISL_19429997|A/mallard/New_Hampshire/24-004334-021-original/2024|H5N1|USA-NH|2024-02-02|avian|C2.1	USA	NH	Sullivan	2024-02-02	43.4747758131496	-72.371761872777
EPI_ISL_19430002|A/mallard/New_Hampshire/24-004334-037-original/2024|H5N1|USA-NH|2024-02-02|avian|C2.1	USA	NH	Sullivan	2024-02-02	43.4721388424137	-72.0625463244534
EPI_ISL_19430003|A/Canada_goose/Virginia/24-004375-001-original/2024|H5N1|USA-VA|2024-02-06|avian|C2.1	USA	VA	Powhatan	2024-02-06	37.4998804169356	-77.8877875289046
SRR29740473|A/canada_goose/MA/24-004865-013/2024|H5N1|USA-MA|2024-02-05|avian|C2.1	USA	MA	Essex	2024-02-05	42.7958386866718	-71.1024525608
EPI_ISL_19372826|A/turkey/North_Carolina/24-005140-001-original/2024|H5N1|USA-NC|2024-02-15|avian|C2.1	USA	NC	Duplin	2024-02-15	34.959255982412	-77.8079327849805
EPI_ISL_19372827|A/turkey/North_Carolina/24-005140-002-original/2024|H5N1|USA-NC|2024-02-15|avian|C2.1	USA	NC	Duplin	2024-02-15	34.9644327641811	-77.8192595872615
EPI_ISL_19387845|A/chicken/New_York/24-005701-001-original/2024|H5N1|USA-NY|2024-02-22|avian|C2.1	USA	NY	Onondaga	2024-02-22	43.0103740958272	-76.1099032541312
EPI_ISL_19387850|A/peafowl/Ohio/24-005906-001-original/2024|H5N1|USA-OH|2024-02-23|avian|C2.1	USA	OH	Mahoning	2024-02-23	41.0305596249327	-80.9502440124336
EPI_ISL_19387851|A/poultry/Ohio/24-005906-002-original/2024|H5N1|USA-OH|2024-02-23|avian|C2.1	USA	OH	Mahoning	2024-02-23	41.0625922427142	-80.6009270020513
SRR29740449|A/bald_eagle/MA/24-007606-010/2024|H5N1|USA-MA|2024-02-20|avian|C2.1	USA	MA	Unknown	2024-02-20	41.5858899482916	-71.1166248019791
SRR29740441|A/american_crow/MA/24-007607-008/2024|H5N1|USA-MA|2024-03-07|avian|C2.1	USA	MA	Barnstable	2024-03-07	41.7084243790078	-70.0567384419015
SRR29740431|A/white-winged_scoter/MA/24-007609-002/2024|H5N1|USA-MA|2024-02-23|avian|C2.1	USA	MA	Unknown	2024-02-23	41.9376085539375	-71.2148620333857
SRR29740430|A/white-winged_scoter/MA/24-007609-003/2024|H5N1|USA-MA|2024-02-23|avian|C2.1	USA	MA	Essex	2024-02-23	42.6247907277029	-71.1584815811309
SRR29740421|A/herring_gull/MA/24-007610-001/2024|H5N1|USA-MA|2024-02-18|avian|C2.1	USA	MA	Barnstable	2024-02-18	41.5575201336314	-70.6450434574519
SRR29740417|A/great_black-backed_gull/MA/24-007610-005/2024|H5N1|USA-MA|2024-02-27|avian|C2.1	USA	MA	Barnstable	2024-02-27	41.7535358776274	-70.4566350488198
SRR34270257|A/bobcat/NY/24-009317-001/2024|H5N1|USA-NY|2024-03-15|feline|C2.1	USA	NY	Unknown	2024-03-15	43.1834005327455	-75.254354812781
EPI_ISL_19387861|A/domestic_duck/Florida/24-012642-001-original/2024|H5N1|USA-FL|2024-04-24|avian|C2.1	USA	FL	Clay	2024-04-24	30.1524384938838	-81.9621107092297
EPI_ISL_19430016|A/turkey/Minnesota/24-012740-002-original/2024|H5N1|USA-MN|2024-04-29|avian|C2.1	USA	MN	Dodge	2024-04-29	44.065326183711	-92.8216525909987
SRR29740550|A/american_crow/MA/24-014126-024/2024|H5N1|USA-MA|2024-03-20|avian|C2.1	USA	MA	Barnstable	2024-03-20	41.6865650346857	-70.2555536805159
SRR29740527|A/bald_eagle/MA/24-014126-051/2024|H5N1|USA-MA|2024-03-27|avian|C2.1	USA	MA	Unknown	2024-03-27	42.244489969168	-73.3348939825673
SRR29740526|A/sanderling/MA/24-014126-052/2024|H5N1|USA-MA|2024-04-05|avian|C2.1	USA	MA	Barnstable	2024-04-05	41.9646820049154	-69.9998678672006
SRR29740516|A/herring_gull/MA/24-014126-061/2024|H5N1|USA-MA|2024-04-13|avian|C2.1	USA	MA	Franklin	2024-04-13	42.5511251432326	-72.6715253353937
SRR29740501|A/great_horned_owl/NH/24-014129-002/2024|H5N1|USA-NH|2024-02-03|avian|C2.1	USA	NH	Strafford	2024-02-03	43.4239238003528	-71.0708878496491
SRR29740500|A/herring_gull/NH/24-014129-003/2024|H5N1|USA-NH|2024-02-27|avian|C2.1	USA	NH	Rockingham	2024-02-27	42.8718341835639	-71.1097862424129
SRR29740498|A/brandt_goose/RI/24-014130-002/2024|H5N1|USA-RI|2024-03-08|avian|C2.1	USA	RI	Kent	2024-03-08	41.6877932244298	-71.5857088901411
EPI_ISL_19430019|A/great_black-backed_gull/Rhode_Island/24-014172-002-original/2024|H5N1|USA-RI|2024-04-30|avian|C2.1	USA	RI	Washington	2024-04-30	41.5857256883888	-71.7347874312741
EPI_ISL_19430021|A/herring_gull/Rhode_Island/24-016702-001-original/2024|H5N1|USA-RI|2024-05-23|avian|C2.1	USA	RI	Washington	2024-05-23	41.5354961870543	-71.7474960039177
SRR34270264|A/harbor_seal/MA/24-026395-001/2024|H5N1|USA-MA|2024-03-19|other_mammal|C2.1	USA	MA	Essex	2024-03-19	42.7844085175167	-71.1724051337932
EPI_ISL_19776156|A/Chicken/QC/FAV-0005-2/2024|H5N1|Canada-QC|2024-01-02|avian|C2.1	Canada	QC	Unknown	2024-01-02	59.6333723803754	-71.8825073908135
EPI_ISL_19776132|A/Canada_Goose/QC/FAV-0021-1/2024|H5N1|Canada-QC|2023-12-06|avian|C2.1	Canada	QC	Unknown	2023-12-06	48.6306830677102	-73.9440521492407
EPI_ISL_19776170|A/American_Crow/QC/FAV-0050-7/2024|H5N1|Canada-QC|2024-01-09|avian|C2.1	Canada	QC	Unknown	2024-01-09	49.5982604619888	-69.9286081831429
EPI_ISL_19776197|A/Canada_Goose/ON/FAV-0056-4/2024|H5N1|Canada-ON|2024-01-30|avian|C2.1	Canada	ON	Unknown	2024-01-30	47.9680996934029	-79.5414107426769
EPI_ISL_19776231|A/American_Crow/PE/FAV-0074-1/2024|H5N1|Canada-PE|2024-02-09|avian|C2.1	Canada	PE	Unknown	2024-02-09	46.3127369670586	-63.4409544891992
EPI_ISL_19776212|A/American_Crow/ON/FAV-0076-9/2024|H5N1|Canada-ON|2024-02-06|avian|C2.1	Canada	ON	Unknown	2024-02-06	51.3808152184267	-92.8559148250989
EPI_ISL_19776229|A/American_Black_Duck/NS/FAV-0080-39/2024|H5N1|Canada-NS|2024-02-09|avian|C2.1	Canada	NS	Unknown	2024-02-09	43.9306520121821	-64.9198922321509
EPI_ISL_19776246|A/Red-Tailed_Hawk/ON/FAV-0081-1/2024|H5N1|Canada-ON|2024-02-18|avian|C2.1	Canada	ON	Unknown	2024-02-18	50.3657542158065	-91.6683557441813
EPI_ISL_19776239|A/Canada_Goose/ON/FAV-0081-5/2024|H5N1|Canada-ON|2024-02-13|avian|C2.1	Canada	ON	Unknown	2024-02-13	45.455008492483	-81.0710914824251
EPI_ISL_19776235|A/American_Crow/QC/FAV-0082-1/2024|H5N1|Canada-QC|2024-02-12|avian|C2.1	Canada	QC	Unknown	2024-02-12	53.2407482644251	-69.4291848366818
EPI_ISL_19776240|A/American_Crow/QC/FAV-0082-2/2024|H5N1|Canada-QC|2024-02-15|avian|C2.1	Canada	QC	Unknown	2024-02-15	49.005348730654	-73.5137655275961
EPI_ISL_19776154|A/American_Crow/ON/FAV-0087-3/2024|H5N1|Canada-ON|2024-01-02|avian|C2.1	Canada	ON	Unknown	2024-01-02	48.9930379151463	-81.4687436612221
EPI_ISL_19776236|A/Canada_Goose/QC/FAV-0090-1/2024|H5N1|Canada-QC|2024-02-12|avian|C2.1	Canada	QC	Unknown	2024-02-12	56.4224554011845	-67.1763744466703
EPI_ISL_19776268|A/Red-Tailed_Hawk/ON/FAV-0092-1/2024|H5N1|Canada-ON|2024-03-03|avian|C2.1	Canada	ON	Unknown	2024-03-03	50.2796181100471	-82.2078500834907
EPI_ISL_19776282|A/American_Crow/ON/FAV-0097-1/2024|H5N1|Canada-ON|2024-03-12|avian|C2.1	Canada	ON	Unknown	2024-03-12	49.4210675463475	-93.0125544306772
