trait	country	admin1	latitude	longitude
EPI_ISL_18698942|A/chicken/Alaska/23-032968-001/2023|H5N1|USA-AK|2023-10-27|avian|A3	USA	AK	67.1675620649629	-141.927685596825
EPI_ISL_18698983|A/domestic_goose/Alaska/23-034050-002/2023|H5N1|USA-AK|2023-11-03|avian|A3	USA	AK	65.6694613987981	-146.239848066942
EPI_ISL_18698982|A/chicken/Alaska/23-034050-001/2023|H5N1|USA-AK|2023-11-03|avian|A3	USA	AK	63.359325553253	-160.117849010207
EPI_ISL_19660951|A/mallard/Alaska/24-008163-001-original/2024|H5N1|USA-AK|2024-03-07|avian|A3	USA	AK	70.9016804623204	-157.279060241315
EPI_ISL_18698938|A/chicken/Alaska/23-032967-001/2023|H5N1|USA-AK|2023-10-27|avian|A3	USA	AK	68.8292277284025	-150.283207026985
EPI_ISL_19186564|A/common_murre/Alaska/23-027066-013/2023|H5N1|USA-AK|2023-08-01|avian|A3	USA	AK	63.3356969372589	-156.646462804123
EPI_ISL_19186499|A/common_murre/Alaska/23-027066-002/2023|H5N1|USA-AK|2023-08-01|avian|A3	USA	AK	69.2714966038403	-151.450943330154
EPI_ISL_19186531|A/common_murre/Alaska/23-027066-010/2023|H5N1|USA-AK|2023-08-01|avian|A3	USA	AK	59.9349731080099	-155.979716893116
EPI_ISL_19186532|A/common_murre/Alaska/23-027066-011/2023|H5N1|USA-AK|2023-08-01|avian|A3	USA	AK	67.147258601346	-153.06093503902
EPI_ISL_19606474|A/black_legged_kittiwake/Alaska/23-029675-001/2023|H5N1|USA-AK|2023-09-19|avian|A3	USA	AK	64.6529355601677	-159.117179829239
EPI_ISL_19186486|A/glaucous_gull/Alaska/23-025003-001/2023|H5N1|USA-AK|2023-07-22|avian|A3	USA	AK	64.2317529157139	-142.557583175504
EPI_ISL_18976667|A/polar_bear/Alaska/23-038123/2023|H5N1|USA-AK|2023-10-01|other_mammal|A3	USA	AK	66.001025370989	-149.26451020243
EPI_ISL_19608609|A/california_condor/Arizona/23-012522-002/2023|H5N1|USA-AZ|2023-04-18|avian|A3	USA	AZ	36.2497066559171	-113.743815026905
EPI_ISL_19608614|A/california_condor/Arizona/23-010675-001/2023|H5N1|USA-AZ|2023-03-30|avian|A3	USA	AZ	34.8395306816079	-109.326540222353
EPI_ISL_19608615|A/california_condor/Arizona/23-010675-002/2023|H5N1|USA-AZ|2023-03-30|avian|A3	USA	AZ	36.7521030211425	-111.994781072438
EPI_ISL_19608608|A/california_condor/Arizona/23-012521-001/2023|H5N1|USA-AZ|2023-04-18|avian|A3	USA	AZ	33.4876532183445	-111.592329458147
EPI_ISL_19608612|A/california_condor/Arizona/23-011580-002/2023|H5N1|USA-AZ|2023-04-06|avian|A3	USA	AZ	35.0549164241238	-114.329552955689
EPI_ISL_19608616|A/california_condor/Arizona/23-010946-001/2023|H5N1|USA-AZ|2023-04-04|avian|A3	USA	AZ	35.563872792604	-113.068900303115
EPI_ISL_19608610|A/california_condor/Arizona/23-011582-002/2023|H5N1|USA-AZ|2023-04-12|avian|A3	USA	AZ	33.2570804949966	-112.816395838564
EPI_ISL_19608613|A/california_condor/Arizona/23-011580-001/2023|H5N1|USA-AZ|2023-04-06|avian|A3	USA	AZ	36.6547097505667	-113.175985283734
EPI_ISL_19606427|A/california_condor/Arizona/23-010558-001/2023|H5N1|USA-AZ|2023-03-30|avian|A3	USA	AZ	34.0528230407008	-113.286859377909
EPI_ISL_19608607|A/california_condor/Arizona/23-012519-002/2023|H5N1|USA-AZ|2023-04-18|avian|A3	USA	AZ	36.0632718030462	-110.620178832119
EPI_ISL_19608611|A/california_condor/Arizona/23-011582-001/2023|H5N1|USA-AZ|2023-04-12|avian|A3	USA	AZ	32.7963692717212	-111.04946762735
EPI_ISL_17964921|A/glaucous_gull/California/23-010132-001/2023|H5N1|USA-CA|2023-03-21|avian|A3	USA	CA	40.3777219400715	-123.930973376944
EPI_ISL_18737507|A/domestic_duck/California/23-037845-002/2023|H5N1|USA-CA|2023-11-28|avian|A3	USA	CA	36.2059167923885	-119.713965644939
EPI_ISL_18737534|A/domestic_goose/California/23-037681-002/2023|H5N1|USA-CA|2023-11-28|avian|A3	USA	CA	35.6137709786342	-120.208289586796
EPI_ISL_18737516|A/domestic_goose/California/23-037845-006/2023|H5N1|USA-CA|2023-11-28|avian|A3	USA	CA	37.7632638613941	-119.416723282534
EPI_ISL_18737533|A/domestic_duck/California/23-037681-001/2023|H5N1|USA-CA|2023-11-28|avian|A3	USA	CA	39.4722008533013	-121.361558694872
EPI_ISL_19239878|A/green-winged_teal/California/23-034302-013-original/2023|H5N1|USA-CA|2023-10-25|avian|A3	USA	CA	38.9475371620644	-120.113842275682
EPI_ISL_19743145|A/western_gull/California/003273-006/2025|H5N1|USA-CA|2025-01-17|avian|A3	USA	CA	34.726852023468	-116.16094315063
EPI_ISL_19743197|A/red-tailed_hawk/California/003273-004/2025|H5N1|USA-CA|2025-01-17|avian|A3	USA	CA	34.590461079087	-116.587622061652
EPI_ISL_19606610|A/bald_eagle/Colorado/22-033430-001/2022|H5N1|USA-CO|2022-10-09|avian|A3	USA	CO	38.8169584292685	-106.369482474277
EPI_ISL_19606609|A/bald_eagle/Colorado/22-038658-001/2022|H5N1|USA-CO|2022-11-28|avian|A3	USA	CO	37.8686882607965	-103.612753026527
EPI_ISL_19777451|A/wood_duck/Florida/W24-974B/2024|H5N1|USA-FL|2024-11-20|avian|A3	USA	FL	30.1175494835955	-84.1753034954695
EPI_ISL_19660844|A/lesser_scaup/Florida/23-035662-001-original/2023|H5N1|USA-FL|2023-11-14|avian|A3	USA	FL	28.7056524885332	-82.3451038787075
EPI_ISL_19777467|A/green-winged_teal/Florida/W24-974A/2024|H5N1|USA-FL|2024-11-20|avian|A3	USA	FL	30.4542580038139	-86.0045667016161
EPI_ISL_19705476|A/bald_eagle/Iowa/001479-002/2024|H5N1|USA-IA|2024-12-31|avian|A3	USA	IA	41.576066522943	-95.5929269312628
EPI_ISL_19705391|A/turkey/Iowa/24-036503-002/2024|H5N1|USA-IA|2024-12-07|avian|A3	USA	IA	41.9552478845165	-95.3272984681426
EPI_ISL_19705392|A/turkey/Iowa/24-036503-001/2024|H5N1|USA-IA|2024-12-07|avian|A3	USA	IA	40.9920895615182	-91.556335529213
EPI_ISL_19677306|A/pheasant/Illinois/24-034185-001/2024|H5N1|USA-IL|2024-11-15|avian|A3	USA	IL	40.4298630326291	-91.2241906271496
EPI_ISL_19677307|A/pheasant/Illinois/24-034185-002/2024|H5N1|USA-IL|2024-11-15|avian|A3	USA	IL	41.4138070596558	-89.847980037519
EPI_ISL_19677309|A/pheasant/Illinois/24-034185-004/2024|H5N1|USA-IL|2024-11-15|avian|A3	USA	IL	40.8753718443707	-88.4421644531022
EPI_ISL_19677308|A/pheasant/Illinois/24-034185-003/2024|H5N1|USA-IL|2024-11-15|avian|A3	USA	IL	41.1003099399376	-89.5039434400496
EPI_ISL_19705477|A/canada_goose/Illinois/000616-011/2024|H5N1|USA-IL|2024-12-31|avian|A3	USA	IL	40.1787192383905	-90.2175019309131
EPI_ISL_19743073|A/mallard/Maryland/003141-007/2025|H5N1|USA-MD|2025-01-15|avian|A3	USA	MD	38.8735076022841	-76.8488486075256
EPI_ISL_19743218|A/bald_eagle/Michigan/003067-004/2025|H5N1|USA-MI|2025-01-23|avian|A3	USA	MI	42.0474749188112	-83.5737881905459
EPI_ISL_19776953|A/mallard/Michigan/002663-014/2025|H5N1|USA-MI|2025-01-17|avian|A3	USA	MI	42.4747341085861	-85.4282292924759
EPI_ISL_19777047|A/mallard/Michigan/002663-004/2025|H5N1|USA-MI|2025-01-17|avian|A3	USA	MI	44.1715896696355	-82.5224122185157
EPI_ISL_19777011|A/mallard/Michigan/002663-005/2025|H5N1|USA-MI|2025-01-17|avian|A3	USA	MI	43.3149724094698	-82.7125762315085
EPI_ISL_19777043|A/mallard/Michigan/002663-026/2025|H5N1|USA-MI|2025-01-17|avian|A3	USA	MI	45.1956577137923	-84.8725310680308
EPI_ISL_19776956|A/mallard/Michigan/002663-011/2025|H5N1|USA-MI|2025-01-17|avian|A3	USA	MI	46.9755731164293	-85.070940586207
SRR32654077|A/anas_platyrhynchos/MI/25-002663-017-original/2025|H5N1|USA-MI|2025-01-17|avian|A3	USA	MI	44.1095013028642	-84.5058688095451
SRR32654067|A/anas_platyrhynchos/MI/25-002663-033-original/2025|H5N1|USA-MI|2025-01-17|avian|A3	USA	MI	44.0431355451483	-82.3720945570495
EPI_ISL_19776947|A/mallard/Michigan/002663-031/2025|H5N1|USA-MI|2025-01-17|avian|A3	USA	MI	43.4810905062975	-86.4715995109175
EPI_ISL_19776954|A/mallard/Michigan/002663-013/2025|H5N1|USA-MI|2025-01-17|avian|A3	USA	MI	43.83208311229	-86.3991972141295
EPI_ISL_19777010|A/mallard/Michigan/002663-006/2025|H5N1|USA-MI|2025-01-17|avian|A3	USA	MI	43.1119997851835	-82.6592285812338
SRR32006921|A/gallus_gallus/MI/24-038976-001-original/2024|H5N1|USA-MI|2024-12-28|avian|A3	USA	MI	42.6085377347833	-83.8341552295857
EPI_ISL_19678091|A/duck/Minnesota/24-033969-003/2024|H5N1|USA-MN|2024-11-14|avian|A3	USA	MN	48.5076175208132	-93.9656899539522
EPI_ISL_19677305|A/guinea_fowl/Minnesota/24-033969-002/2024|H5N1|USA-MN|2024-11-14|avian|A3	USA	MN	47.0756815475372	-92.4534960707531
EPI_ISL_19186462|A/short-tailed_shearwaters/Minnesota/23-025002-003/2023|H5N1|USA-MN|2023-07-19|avian|A3	USA	MN	46.3121936693264	-95.588627362811
EPI_ISL_19737040|A/guineafowl/Missouri/038441-003/2024|H5N1|USA-MO|2024-12-20|avian|A3	USA	MO	39.110449412491	-92.7519262263732
EPI_ISL_19604243|A/raven/Montana/23-003666-004/2023|H5N1|USA-MT|2023-01-30|avian|A3	USA	MT	48.7816681058291	-109.632217678989
EPI_ISL_19325222|A/mallard/Oregon/23-035569-010-original/2023|H5N1|USA-OR|2023-11-04|avian|A3	USA	OR	42.2903386002526	-119.537524394989
EPI_ISL_19605595|A/red_tailed_hawk/Oregon/23-002977-001/2023|H5N1|USA-OR|2023-01-10|avian|A3	USA	OR	45.1886810131938	-121.140415350833
