label,,host,date,country,location,county,latitude,longitude
A/domestic_duck/Iowa/23-033840-003/2023|H5N1|USA-IA|2023-11-02|avian|B3.6,23-033840-003,domestic_duck,11/2/2023,USA-IA,Iowa,Clay,43.080833,-95.149444
A/chicken/Iowa/23-037208-002/2023|H5N1|USA-IA|2023-11-22|avian|B3.6,23-037208-002,chicken,11/22/2023,USA-IA,Iowa,Sioux,43.081389,-96.179444
A/blue-winged_teal/Iowa/23-032986-004/2023|H5N1|USA-IA|2023-10-19|avian|B3.6,23-032986-004,blue-winged_teal,10/19/2023,USA-IA,Iowa,Hancock,43.083333,-93.736389
A/green-winged_teal/Iowa/23-032986-006/2023|H5N1|USA-IA|2023-10-19|avian|B3.6,23-032986-006,green-winged_teal,10/19/2023,USA-IA,Iowa,Hancock,43.083333,-93.736389
A/turkey/South_Dakota/23-038677-001-original/2023|H5N1|USA-SD|2023-12-06|avian|B3.6,23-038677-001-original,turkey,12/6/2023,USA-SD,South_Dakota,Charles Mix,43.21,-98.59
A/turkey/South_Dakota/23-038677-002-original/2023|H5N1|USA-SD|2023-12-06|avian|B3.6,23-038677-002-original,turkey,12/6/2023,USA-SD,South_Dakota,Charles Mix,43.21,-98.59
A/chicken/South_Dakota/23-035811-001/2023|H5N1|USA-SD|2023-11-15|avian|B3.6,23-035811-001,chicken,11/15/2023,USA-SD,South_Dakota,Fall River,43.25,-103.52
A/domestic_goose/South_Dakota/23-035811-003/2023|H5N1|USA-SD|2023-11-15|avian|B3.6,23-035811-003,domestic_goose,11/15/2023,USA-SD,South_Dakota,Fall River,43.25,-103.52
A/red-tailed_hawk/Iowa/23-008517-001/2023|H5N1|USA-IA|2023-03-05|avian|B3.6,23-008517-001,red-tailed_hawk,3/5/2023,USA-IA,Iowa,Winneshiek,43.283333,-91.866667
A/american_crow/Iowa/24_006634-001/2024|H5N1|USA-IA|2024-03-01|avian|B3.6,24_006634-001,american_crow,3/1/2024,USA-IA,Iowa,Allamakee,43.286667,-91.374167
A/turkey/Michigan/23-039966-001-original/2023|H5N1|USA-MI|2023-12-17|avian|B3.6,23-039966-001-original,turkey,12/17/2023,USA-MI,Michigan,Muskegon,43.29,-86.45
A/turkey/Michigan/23-039966-002-original/2023|H5N1|USA-MI|2023-12-17|avian|B3.6,23-039966-002-original,turkey,12/17/2023,USA-MI,Michigan,Muskegon,43.29,-86.45
A/turkey/Michigan/23-040820-001-original/2023|H5N1|USA-MI|2023-12-26|avian|B3.6,23-040820-001-original,turkey,12/26/2023,USA-MI,Michigan,Muskegon,43.29,-86.45
A/turkey/South_Dakota/24-007379-001-original/2024|H5N1|USA-SD|2024-03-08|avian|B3.6,24-007379-001-original,turkey,3/8/2024,USA-SD,South_Dakota,Hutchinson,43.34,-97.75
A/chicken/Idaho/23-034565-001/2023|H5N1|USA-ID|2023-11-09|avian|B3.6,23-034565-001,chicken,11/9/2023,USA-ID,Idaho,Bonneville,43.38,-111.6
A/chicken/Idaho/23-034565-002/2023|H5N1|USA-ID|2023-11-09|avian|B3.6,23-034565-002,chicken,11/9/2023,USA-ID,Idaho,Bonneville,43.38,-111.6
A/gyrfalcon/Idaho/23-034082-001/2023|H5N1|USA-ID|2023-10-27|avian|B3.6,23-034082-001,gyrfalcon,10/27/2023,USA-ID,Idaho,Camas,43.47,-114.81
A/chicken/Idaho/23-037837-001/2023|H5N1|USA-ID|2023-11-29|avian|B3.6,23-037837-001,chicken,11/29/2023,USA-ID,Idaho,Canyon,43.63,-116.71
A/chicken/South_Dakota/23-037627-001/2023|H5N1|USA-SD|2023-11-29|avian|B3.6,23-037627-001,chicken,11/29/2023,USA-SD,South_Dakota,Minnehaha,43.667472,-96.795726
A/domestic_goose/Minnesota/23-014706-004-original/2023|H5N1|USA-MN|2023-05-09|avian|B3.6,23-014706-004-original,domestic_goose,5/9/2023,USA-MN,Minnesota,Noble,43.67,-95.76
A/chicken/Minnesota/23-037030-001/2023|H5N1|USA-MN|2023-11-22|avian|B3.6,23-037030-001,chicken,11/22/2023,USA-MN,Minnesota,Freeborn,43.67,-93.35
A/chicken/Minnesota/23-037030-002/2023|H5N1|USA-MN|2023-11-22|avian|B3.6,23-037030-002,chicken,11/22/2023,USA-MN,Minnesota,Freeborn,43.67,-93.35
A/turkey/South_Dakota/23-032362-001/2023|H5N1|USA-SD|2023-10-24|avian|B3.6,23-032362-001,turkey,10/24/2023,USA-SD,South_Dakota,Hanson,43.680612,-97.796845
A/turkey/South_Dakota/23-032362-002/2023|H5N1|USA-SD|2023-10-24|avian|B3.6,23-032362-002,turkey,10/24/2023,USA-SD,South_Dakota,Hanson,43.680612,-97.796845
A/turkey/South_Dakota/23-036898-001/2023|H5N1|USA-SD|2023-11-20|avian|B3.6,23-036898-001,turkey,11/20/2023,USA-SD,South_Dakota,Brule,43.72,-99.06
A/turkey/South_Dakota/23-036898-002/2023|H5N1|USA-SD|2023-11-20|avian|B3.6,23-036898-002,turkey,11/20/2023,USA-SD,South_Dakota,Brule,43.72,-99.06
A/gadwall/South_Dakota/23-033791-002-original/2023|H5N1|USA-SD|2023-10-27|avian|B3.6,23-033791-002-original,gadwall,10/27/2023,USA-SD,South_Dakota,Aurora,43.72,-98.57
A/chicken/Michigan/23-037817-001/2023|H5N1|USA-MI|2023-11-29|avian|B3.6,23-037817-001,chicken,11/29/2023,USA-MI,Michigan,Bay,43.72,-83.94
A/great_horned_owl/Idaho/23-030180-001/2023|H5N1|USA-ID|2023-09-27|avian|B3.6,23-030180-001,great_horned_owl,9/27/2023,USA-ID,Idaho,Madison,43.79,-111.66
A/chicken/Oregon/23-034934-001/2023|H5N1|USA-OR|2023-11-06|avian|B3.6,23-034934-001,chicken,11/6/2023,USA-OR,Oregon,Deschutes,43.91,-121.22
A/American_black_duck/Wisconsin/23-036678-012-original/2023|H5N1|USA-WI|2023-11-10|avian|B3.6,23-036678-012-original,American_black_duck,11/10/2023,USA-WI,Wisconsin,La Crosse,43.91,-91.11
A/mallard/Wisconsin/23-036678-011-original/2023|H5N1|USA-WI|2023-11-10|avian|B3.6,23-036678-011-original,mallard,11/10/2023,USA-WI,Wisconsin,La Crosse,43.91,-91.11
